,s,o,KindOfLink,sBT,sNT,sRT,sPrefLabel,sAltLabels,oPrefLabel,oDefinition,oAltLabels,oBT,oNT,oRT
0,http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar,http://dbpedia.org/resource/Category:Madagascar,E,Africa,Antananarivo,Indian Ocean| West Indian Ocean| Mozambique Channel,Madagascar,,Madagascar,,,Island countries| Islands of Africa| Physiographic provinces| Member states of the Organisation internationale de la Francophonie| Southeast African countries| East African countries| Wikipedia categories named after islands| Countries in Africa| Southern African countries| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
1,http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger,http://dbpedia.org/resource/Category:Niger,E,Africa,Niamey Niger,Niger River Basin| Niger River| Sahel| Chad Basin| Sahara,Niger,,Niger,,,Countries in Africa| Landlocked countries| West African countries| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
2,http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia,http://dbpedia.org/resource/Category:Nubia,E,Africa,,Egypt| Sudan| Nile Valley,Nubia,,Nubia,,,Regions of Africa| Foreign contacts of ancient Egypt| Geography of ancient Egypt| History of Sudan,,
3,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara,http://dbpedia.org/resource/Category:Sahara,E,Africa,Western Sahara,Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia,Sahara,,Sahara,,,Deserts of Africa| Geography of North Africa| Wikipedia categories named after deserts,,
4,http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi,http://dbpedia.org/resource/Category:Burundi,E,Africa| Central Africa,Bujumbura Burundi,East African Rift| Lake Tanganyika| Nile River| Nilo River Basin,Burundi,,Burundi,,,Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| States and territories established in 1962| French-speaking countries and territories| Wikipedia categories named after countries| Republics,,
5,http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon,http://dbpedia.org/resource/Category:Gabon,E,Africa| Central Africa,Libreville Gabon,Ogooué River,Gabon,,Gabon,,,Member states of the African Union| Central African countries| Former French colonies| Member states of the Organisation internationale de la Francophonie| Countries in Africa| Bantu countries and territories| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
6,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda,http://dbpedia.org/resource/Category:Rwanda,E,Africa| Central Africa,Kigali Rwanda,East African Rift| Lake Kivu,Rwanda,,Rwanda,,,Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Commonwealth republics| Bantu countries and territories| Member states of the Commonwealth of Nations| States and territories established in 1962| French-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics,,
7,http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan,http://dbpedia.org/resource/Category:Sudan,E,Africa| East Africa,Khartoum Sudan,Nubia| Blue Nile| Nile River| Sahara| Nile Valley,Sudan,,Sudan,,,Member states of the Arab League| North African countries| Countries in Africa| Arabic-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries,,
8,http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores,http://dbpedia.org/resource/Category:Comoros,E,Africa| East Africa,Moroni Comoros,Indian Ocean| Mayotte| Mozambique Channel,Comoros,,Comoros,,,Island countries| Member states of the Arab League| East African countries| Wikipedia categories named after islands| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Wikipedia categories named after countries,,
9,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra,http://dbpedia.org/resource/Category:Eritrea,E,Africa| East Africa,Asmara Etiopia| Dahlak Islands| Mitsiwa Eritrea,Red Sea| East African Rift| Afar| Red Sea Basin| Afar Depression,Eritrea,,Eritrea,,,East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| English-speaking countries and territories| Wikipedia categories named after countries,,
10,http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya,http://dbpedia.org/resource/Category:Ethiopia,E,Africa| East Africa,Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia,Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River,Ethiopia,,Ethiopia,,,East African countries| Countries in Africa| Landlocked countries| Federal republics| Horn of Africa| Wikipedia categories named after countries,,
11,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya,http://dbpedia.org/resource/Category:Kenya,E,Africa| East Africa,Nairobi Kenya,Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya,Kenya,,Kenya,,,Southeast African countries| East African countries| Countries in Africa| Bantu countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics| States and territories established in 1963,,
12,http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi,http://dbpedia.org/resource/Category:Malawi,E,Africa| East Africa,Lilongwe,East African Rift| Nyasa Lake,Malawi,,Malawi,,,States and territories established in 1964| Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries| Republics,,
13,http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique,http://dbpedia.org/resource/Category:Mozambique,E,Africa| East Africa,Maputo Mozambique,Nyasa Lake| Zambezi river,Mozambique,,Mozambique,,,Southeast African countries| East African countries| Member states of the Community of Portuguese Language Countries| Countries in Africa| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| Wikipedia categories named after countries| Republics,,
14,http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles,http://dbpedia.org/resource/Category:Seychelles,E,Africa| East Africa,Victoria Seychelles,Indian Ocean| islands,Seychelles,,Seychelles,,,Island countries| Islands of Africa| East African countries| Wikipedia categories named after islands| Countries in Africa| Islands of the Indian Ocean| Member states of the Commonwealth of Nations| English-speaking countries and territories| Wikipedia categories named after countries| Archipelagoes of the Indian Ocean| Republics,,
15,http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya,http://dbpedia.org/resource/Category:Somalia,E,Africa| East Africa,Muqdisho Somalia| Afar Depression| Migiurtin,Gulf of Adenl,Somalia,,Somalia,,,Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Horn of Africa| Wikipedia categories named after countries| States and territories established in 1960,,
16,http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia,http://dbpedia.org/resource/Category:Zambia,E,Africa| East Africa,Lusaka Zambia,Zambezi River Basin| Congo River| Zambezi river| Congo River Basin,Zambia,,Zambia,,,States and territories established in 1964| Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries,,
17,http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti,http://dbpedia.org/resource/Category:Djibouti,E,Africa| East Africa| Djibouti Djibouti| Djibouti,Djibouti Djibouti| Djibouti,Red Sea| Afar| Red Sea Basin,Djibouti,,Djibouti,,,Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| Wikipedia categories named after countries| Republics,,
18,http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti,http://dbpedia.org/resource/Category:Djibouti,E,Africa| East Africa| Djibouti Djibouti| Djibouti,Djibouti Djibouti| Djibouti,Red Sea| Afar| Red Sea Basin,Djibouti Djibouti,,Djibouti,,,Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| Wikipedia categories named after countries| Republics,,
19,http://linkeddata.ge.imati.cnr.it/resource/ThIST/mayotte,http://dbpedia.org/resource/Category:Mayotte,E,Africa| East Africa| France,Dzaoudzi Mayotte,Indian Ocean| Comoros| Mozambique Channel,Mayotte,,Mayotte,,,Outermost regions of the European Union| Island countries| Regions of France| Islands of Africa| Comoros archipelago| Wikipedia categories named after islands| Territorial disputes of the Comoros| Islands of the Indian Ocean| Southern Africa| Southeast Africa| Disputed territories in Africa| East Africa| Territorial disputes of France| Overseas departments of France,,
20,http://linkeddata.ge.imati.cnr.it/resource/ThIST/almaghrib,http://dbpedia.org/resource/Category:Morocco,E,Africa| North Africa,Rabat Morocco| Casablanca Morocco,Mediterranean region| Maghreb| Atlas Mountains| Sahara| Western Sahara,Morocco,,Morocco,,,Member states of the Arab League| Member states of the Organisation internationale de la Francophonie| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| Kingdoms| Wikipedia categories named after countries,,
21,http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya,http://dbpedia.org/resource/Category:Libya,E,Africa| North Africa,Tripoli Libya| Fezzan| Kufra Basin| Cirenaica| Tripolitania| Sirte Basin| Tibesti Libya,Libyan Desert| Mediterranean region| Maghreb| Tibesti Massif| Sahara,Libya,,Libya,,,1951 establishments in Africa| Member states of the Arab League| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| Wikipedia categories named after countries,,
22,http://linkeddata.ge.imati.cnr.it/resource/ThIST/maghreb,http://dbpedia.org/resource/Category:Maghreb,E,Africa| North Africa,,Algeria| Algeri Algeria| Libya| Morocco| Egypt| Tunis Tunisia| Tunisia,Maghreb,,Maghreb,,,Regions of Africa| Geography of North Africa| Mediterranean| Arab world,,
23,http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr,http://dbpedia.org/resource/Category:Egypt,E,Africa| North Africa,Gulf of Suez| Red Sea| Nile Delta| Suez Canal| Blue Nile| Nile Valley| Abu Durba Egypt| Middle Nile Valley,Libyan Desert| Middle East| Mediterranean region| Nubia| Maghreb| Nubian Sandstone| Near East| Red Sea Basin| Nile River| Sahara| Nile Valley| Sinai,Egypt,,Egypt,,,Arab republics| Middle Eastern countries| Western Asian countries| Member states of the Arab League| North African countries| Countries in Africa| Arabic-speaking countries and territories| Countries in Asia| Wikipedia categories named after countries,,
