;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;E;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;;Island countries| Islands of Africa| Physiographic provinces| Member states of the Organisation internationale de la Francophonie| Southeast African countries| East African countries| Wikipedia categories named after islands| Countries in Africa| Southern African countries| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;E;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;;Countries in Africa| Landlocked countries| West African countries| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.280.418.017.251.900;1.990.250.018.568.420;32.067.760.779.910.600;32.067.760.779.910.600;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;E;E;Africa;;Egypt| Sudan| Nile Valley;Nubia;;Nubia;;Regions of Africa| Foreign contacts of ancient Egypt| Geography of ancient Egypt| History of Sudan;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.188.191.462.433.310;20.246.923.118.918.100;29.244.139.537.391.600;29.244.139.537.391.600;0.010204081632653073;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://dbpedia.org/resource/Category:Sahara;E;E;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;Sahara;;Deserts of Africa| Geography of North Africa| Wikipedia categories named after deserts;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.192.751.488.187.300;19.094.016.096.975.400;28.412.517.468.274.200;28.412.517.468.274.200;0.0;1.0;1.0;4,44E-01;0.0;0.0;0.0;1.0;1.0;1.0
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;E;E;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;Burundi;;Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| States and territories established in 1962| French-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.617.218.609.678.280;13.189.187.993.187.000;31.224.333.273.129.400;9.301.291.844.541.430;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;E;E;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;Gabon;;Member states of the African Union| Central African countries| Former French colonies| Member states of the Organisation internationale de la Francophonie| Countries in Africa| Bantu countries and territories| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.836.938.190.835.360;13.351.970.709.649.500;32.067.760.779.910.600;9.582.058.145.204.790;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;E;E;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;Rwanda;;Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Commonwealth republics| Bantu countries and territories| Member states of the Commonwealth of Nations| States and territories established in 1962| French-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.017.218.609.678.200;13.596.135.098.085.500;31.224.333.273.129.400;9.301.291.844.541.430;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;E;E;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;Sudan;;Member states of the Arab League| North African countries| Countries in Africa| Arabic-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.574.401.908.781.800;14.497.510.989.746.600;29.824.306.566.989.600;8.784.263.602.472.800;0.004784688995215336;1.0;2.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;E;E;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;Comoros;;Island countries| Member states of the Arab League| East African countries| Wikipedia categories named after islands| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.184.471.675.639.700;1.490.164.042.566.090;29.824.306.566.989.600;8.947.291.970.096.900;0.004115226337448541;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;E;E;Africa| East Africa;Asmara Etiopia| Dahlak Islands| Mitsiwa Eritrea;Red Sea| East African Rift| Afar| Red Sea Basin| Afar Depression;Eritrea;;Eritrea;;East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.342.990.591.085.300;13.065.438.166.940.500;29.824.306.566.989.600;8.947.291.970.096.900;0.005263157894736858;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
