,s,o,KindOfLink,oBT,oNT,oRT,oPrefLabel,oAltLabels,sBT,sNT,sRT,sPrefLabel,sAltLabels
0,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico,http://aims.fao.org/aos/agrovoc/c_1016,E,Inorganic acids,,,Boric acid,,acids,,borates| sassolite,boric acid,
1,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico,http://aims.fao.org/aos/agrovoc/c_1631,E,Organic acids,,,Citric acid,,chemical analysis| acids,,,citric acid,
2,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico,http://aims.fao.org/aos/agrovoc/c_3720,E,Inorganic acids,,,Hydrochloric acid,,inorganic acids| acids,,chlorides,hydrocloric acid,
3,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico,http://aims.fao.org/aos/agrovoc/c_7517,E,Inorganic acids,,,Sulphuric acid,Sulfuric acid,inorganic acids| acids,,marcasite| acid mine drainage| pollution,sulfuric acid,
4,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico,http://aims.fao.org/aos/agrovoc/c_671,E,Amino acids,,,Aspartic acid,Asparaginic acid,organic materials| organic acids| amino acids| acids,,,aspartic acid,
5,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina,http://aims.fao.org/aos/agrovoc/c_239,E,Amino acids,,,Alanine,,organic materials| organic acids| amino acids| acids,,geochemistry,alanine,
6,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale,http://aims.fao.org/aos/agrovoc/c_1432,E,Africa South of Sahara,Sao Tome and Principe| Cameroon| Rwanda| Democratic Republic of the Congo| Chad| Burundi| Equatorial Guinea| Congo| Gabon| Central African Republic,,Central Africa,,Africa,Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea,West Africa| East Africa| Southern Africa| North Africa,Central Africa,
7,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale,http://aims.fao.org/aos/agrovoc/c_7265,E,Africa South of Sahara,"Zambia| Malawi| Zimbabwe| Swaziland| Angola| South Africa| Mozambique| Botswana| Saint Helena, Ascension and Tristan da Cunha| Lesotho| Namibia",,Southern Africa,,Africa,Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho,Damara Orogeny| West Africa| Central Africa| East Africa| North Africa,Southern Africa,
8,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale,http://aims.fao.org/aos/agrovoc/c_8355,E,Africa South of Sahara,Sierra Leone| Ghana| Benin| Western Sahara| Mali| Cote d'Ivoire| Cabo Verde| Niger| Gambia| Mauritania| Liberia| Nigeria| Burkina Faso| Guinea| Togo| Guinea-Bissau| Senegal,,West Africa,,Africa,Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal,Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa,West Africa,
9,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale,http://aims.fao.org/aos/agrovoc/c_2442,E,Africa South of Sahara,Mauritius| South Sudan| Sudan| Seychelles| Ethiopia| Eritrea| Comoros| Djibouti| Kenya| Mayotte| Somalia| Madagascar| United Republic of Tanzania| Uganda| Réunion,,East Africa,,Africa,Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia,Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel,East Africa,
10,http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo,http://aims.fao.org/aos/agrovoc/c_29739,E,Rivers| African inland waters,Blue Nile River,,Nile River,,Africa,,Burundi| Ethiopia| Lake Victoria| Blue Nile| Egypt| Sudan| Uganda| Nilo River Basin,Nile River,
11,http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar,http://aims.fao.org/aos/agrovoc/c_4510,E,East Africa,,,Madagascar,Democratic Republic of Madagascar| Malagasy Republic,Africa,Antananarivo,Indian Ocean| West Indian Ocean| Mozambique Channel,Madagascar,
12,http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger,http://aims.fao.org/aos/agrovoc/c_5181,E,West Africa,,,Niger,Republic of the Niger,Africa,Niamey Niger,Niger River Basin| Niger River| Sahel| Chad Basin| Sahara,Niger,
13,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara,http://aims.fao.org/aos/agrovoc/c_29755,E,Deserts,,,Sahara Desert,Libyan Desert,Africa,Western Sahara,Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia,Sahara,
14,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel,http://aims.fao.org/aos/agrovoc/c_6734,E,Africa South of Sahara,,,Sahel,,Africa,,Niger| Chad| Mauritania| Mali| Sahara| Senegal,Sahel,
15,http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi,http://aims.fao.org/aos/agrovoc/c_1159,E,Central Africa,,,Burundi,Republic of Burundi,Africa| Central Africa,Bujumbura Burundi,East African Rift| Lake Tanganyika| Nile River| Nilo River Basin,Burundi,
16,http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon,http://aims.fao.org/aos/agrovoc/c_3161,E,Central Africa,,,Gabon,Gabonese Republic,Africa| Central Africa,Libreville Gabon,Ogooué River,Gabon,
17,http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial,http://aims.fao.org/aos/agrovoc/c_2627,E,Central Africa,,,Equatorial Guinea,Fernando Po| Rio Muni| Republic of Equatorial Guinea| Spanish Guinea,Africa| Central Africa,Bioko Island| Malabo Equatorial Guinea,Gulf of Guinea,Equatorial Guinea,
18,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu,http://aims.fao.org/aos/agrovoc/c_29709,E,Lakes| African inland waters,,,Lake Kivu,,Africa| Central Africa,,Democratic Republic of Congo| Rwanda,Lake Kivu,
19,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda,http://aims.fao.org/aos/agrovoc/c_6717,E,Central Africa,,,Rwanda,Republic of Rwanda| Rwandese Republic,Africa| Central Africa,Kigali Rwanda,East African Rift| Lake Kivu,Rwanda,
20,http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan,http://aims.fao.org/aos/agrovoc/c_7497,E,East Africa,,,Sudan,Democratic Republic of the Sudan| Republic of the Sudan,Africa| East Africa,Khartoum Sudan,Nubia| Blue Nile| Nile River| Sahara| Nile Valley,Sudan,
21,http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores,http://aims.fao.org/aos/agrovoc/c_1790,E,East Africa,,,Comoros,Etat Comorien| Moheli| Anjouan| Comoro Islands| Grande Comore,Africa| East Africa,Moroni Comoros,Indian Ocean| Mayotte| Mozambique Channel,Comoros,
22,http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya,http://aims.fao.org/aos/agrovoc/c_2676,E,East Africa,,,Ethiopia,Abyssinia,Africa| East Africa,Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia,Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River,Ethiopia,
23,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya,http://aims.fao.org/aos/agrovoc/c_4086,E,East Africa,,,Kenya,Republic of Kenya,Africa| East Africa,Nairobi Kenya,Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya,Kenya,
24,http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi,http://aims.fao.org/aos/agrovoc/c_4532,E,Southern Africa,,COMPACI,Malawi,Republic of Malawi,Africa| East Africa,Lilongwe,East African Rift| Nyasa Lake,Malawi,
25,http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles,http://aims.fao.org/aos/agrovoc/c_7017,E,East Africa,,,Seychelles,Republic of Seychelles,Africa| East Africa,Victoria Seychelles,Indian Ocean| islands,Seychelles,
26,http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya,http://aims.fao.org/aos/agrovoc/c_7237,E,East Africa,,,Somalia,Somali Republic| Somali Democratic Republic| Federal Republic of Somalia,Africa| East Africa,Muqdisho Somalia| Afar Depression| Migiurtin,Gulf of Adenl,Somalia,
27,http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia,http://aims.fao.org/aos/agrovoc/c_8501,E,Southern Africa,,COMPACI,Zambia,Republic of Zambia,Africa| East Africa,Lusaka Zambia,Zambezi River Basin| Congo River| Zambezi river| Congo River Basin,Zambia,
28,http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti,http://aims.fao.org/aos/agrovoc/c_2346,E,East Africa,,,Djibouti,Republic of Djibouti| Afars and Issas Territory| French Somaliland| Issas (and Afars Territory)| French Territory of Afars and Issas,Africa| East Africa| Djibouti Djibouti| Djibouti,Djibouti Djibouti| Djibouti,Red Sea| Afar| Red Sea Basin,Djibouti,
29,http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti,http://aims.fao.org/aos/agrovoc/c_2346,E,East Africa,,,Djibouti,Republic of Djibouti| Afars and Issas Territory| French Somaliland| Issas (and Afars Territory)| French Territory of Afars and Issas,Africa| East Africa| Djibouti Djibouti| Djibouti,Djibouti Djibouti| Djibouti,Red Sea| Afar| Red Sea Basin,Djibouti Djibouti,
30,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria,http://aims.fao.org/aos/agrovoc/c_29726,E,Lakes| African inland waters,,,Lake Victoria,,Africa| East Africa| East African Lakes,,Tanzania| Nile River| Uganda| Kenya,Lake Victoria,
31,http://linkeddata.ge.imati.cnr.it/resource/ThIST/mayotte,http://aims.fao.org/aos/agrovoc/c_4665,E,East Africa,,,Mayotte,Comorian Island of Mayotte,Africa| East Africa| France,Dzaoudzi Mayotte,Indian Ocean| Comoros| Mozambique Channel,Mayotte,
32,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagotanganica,http://aims.fao.org/aos/agrovoc/c_29724,E,Lakes| African inland waters,,,Lake Tanganyika,,Africa| East African Lakes,,Tanzania| Burundi| East Africa,Lake Tanganyika,
33,http://linkeddata.ge.imati.cnr.it/resource/ThIST/almaghrib,http://aims.fao.org/aos/agrovoc/c_4940,E,North Africa,,,Morocco,Kingdom of Morocco,Africa| North Africa,Rabat Morocco| Casablanca Morocco,Mediterranean region| Maghreb| Atlas Mountains| Sahara| Western Sahara,Morocco,
34,http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya,http://aims.fao.org/aos/agrovoc/c_4312,E,North Africa,,,Libya,Libyan Arab Jamahiriya| Socialist People's Libyan Arab Jama| Libyan Arab Republic,Africa| North Africa,Tripoli Libya| Fezzan| Kufra Basin| Cirenaica| Tripolitania| Sirte Basin| Tibesti Libya,Libyan Desert| Mediterranean region| Maghreb| Tibesti Massif| Sahara,Libya,
35,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saharaoccidentale,http://aims.fao.org/aos/agrovoc/c_8366,E,West Africa,,,Western Sahara,Rio de Oro| Spanish West Africa| Spanish Sahara,Africa| North Africa| Sahara,Atlantic Ocean,Morocco,Western Sahara,
36,http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis,http://aims.fao.org/aos/agrovoc/c_8007,E,North Africa,,,Tunisia,Republic of Tunisia,Africa| North Africa| Tunis Tunisia| Tunisia,Tunis Tunisia| Tunisia,Mediterranean region| Maghreb| Atlas Mountains| Sahara,Tunis Tunisia,
37,http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis,http://aims.fao.org/aos/agrovoc/c_8007,E,North Africa,,,Tunisia,Republic of Tunisia,Africa| North Africa| Tunis Tunisia| Tunisia,Tunis Tunisia| Tunisia,Mediterranean region| Maghreb| Atlas Mountains| Sahara,Tunisia,
38,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lesotho,http://aims.fao.org/aos/agrovoc/c_4284,E,Southern Africa,,,Lesotho,Kingdom of Lesotho,Africa| Southern Africa,Maseru Lesotho,Orange River,Lesotho,
39,http://linkeddata.ge.imati.cnr.it/resource/ThIST/namibia,http://aims.fao.org/aos/agrovoc/c_5063,E,Southern Africa,,,Namibia,South West Africa| Republic of Namibia,Africa| Southern Africa,Windhoek Namibia,Kalahari desert,Namibia,
40,http://linkeddata.ge.imati.cnr.it/resource/ThIST/swaziland,http://aims.fao.org/aos/agrovoc/c_7547,E,Southern Africa,,,Swaziland,Kingdom of Swaziland,Africa| Southern Africa,Mbabane Swaziland,,Swaziland,
41,http://linkeddata.ge.imati.cnr.it/resource/ThIST/zimbabwe,http://aims.fao.org/aos/agrovoc/c_8516,E,Southern Africa,,,Zimbabwe,Republic of Zimbabwe| Rhodesia| Zimbabwe Rhodesia,Africa| Southern Africa,Harare Zimbabwe,Limpopo River Basin| Zambezi River Basin| Limpopo River,Zimbabwe,
