;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico;http://aims.fao.org/aos/agrovoc/c_1016;E;E;acids;;borates| sassolite;boric acid;;Boric acid;;Inorganic acids;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico;http://aims.fao.org/aos/agrovoc/c_1631;E;E;chemical analysis| acids;;;citric acid;;Citric acid;;Organic acids;;;0;0;0;0;0;0;0;1.2013094209;1.1825504803;1.8042562328;5.3480353854;0;1;1.125;2.3578538066;0.347813559;0.9816404281;1.9632808563;0.9090909091;1;2
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://aims.fao.org/aos/agrovoc/c_3720;E;E;inorganic acids| acids;;chlorides;hydrocloric acid;;Hydrochloric acid;;Inorganic acids;;;0;0;0;0;0;0;0;3.7366052001;0.4898678393;1.6998426663;5.099527999;0.6363636364;1;3;0.5220393513;0.227766507;1.7676036791;3.4693644214;0.2941176471;1;1.5
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://aims.fao.org/aos/agrovoc/c_7517;E;E;inorganic acids| acids;;marcasite| acid mine drainage| pollution;sulfuric acid;;Sulphuric acid;Sulfuric acid;Inorganic acids;;;0;0;0;0;0;0;0;3.7366052001;0.4898678393;1.6998426663;5.099527999;0.6363636364;1;3;0.4423763594;0.7237038534;2.0808032195;4.0945679653;0.1428571429;1;1.3333333333
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico;http://aims.fao.org/aos/agrovoc/c_671;E;E;organic materials| organic acids| amino acids| acids;;;aspartic acid;;Aspartic acid;Asparaginic acid;Amino acids;;;0;0;0;0;0;0;0;7.222475504;0.7820163076;2.184845446;14.4593814714;0;1;4;2.220446049250313e-16;0.3493553716;1.9235299717;3.8470599434;0.9230769231;1;2
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina;http://aims.fao.org/aos/agrovoc/c_239;E;E;organic materials| organic acids| amino acids| acids;;geochemistry;alanine;;Alanine;;Amino acids;;;0;0;0;0;0;0;0;7.222475504;0.7820163076;2.184845446;14.4593814714;0;1;4;0;0.5346257754;0;0;0.8571428571;1;1
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://aims.fao.org/aos/agrovoc/c_1432;E;E;Africa;Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea;West Africa| East Africa| Southern Africa| North Africa;Central Africa;;Central Africa;;Africa South of Sahara;Sao Tome and Principe| Cameroon| Rwanda| Democratic Republic of the Congo| Chad| Burundi| Equatorial Guinea| Congo| Gabon| Central African Republic;;0;0;0;0;0;0;0;2;1.4314259652;2.5131573558;2.5131573558;0.2727272727;1;1;2.0477192458;0;1.838106873;3.676213746;1;1;2
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://aims.fao.org/aos/agrovoc/c_7265;E;E;Africa;Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho;Damara Orogeny| West Africa| Central Africa| East Africa| North Africa;Southern Africa;;Southern Africa;;Africa South of Sahara;Zambia| Malawi| Zimbabwe| Swaziland| Angola| South Africa| Mozambique| Botswana| Saint Helena, Ascension and Tristan da Cunha| Lesotho| Namibia;;0;0;0;0;0;0;0;2;1.4314259652;2.5131573558;2.5131573558;0.2727272727;1;1;2.0890157234;0;2.3299654956;4.6599309913;1;1;2
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://aims.fao.org/aos/agrovoc/c_8355;E;E;Africa;Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal;Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa;West Africa;;West Africa;;Africa South of Sahara;Sierra Leone| Ghana| Benin| Western Sahara| Mali| Cote d'Ivoire| Cabo Verde| Niger| Gambia| Mauritania| Liberia| Nigeria| Burkina Faso| Guinea| Togo| Guinea-Bissau| Senegal;;0;0;0;0;0;0;0;2;1.4314259652;2.5131573558;2.5131573558;0.2727272727;1;1;2.1234647454;0;2.8939633108;5.7879266215;1;1;2
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://aims.fao.org/aos/agrovoc/c_2442;E;E;Africa;Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia;Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel;East Africa;;East Africa;;Africa South of Sahara;Mauritius| South Sudan| Sudan| Seychelles| Ethiopia| Eritrea| Comoros| Djibouti| Kenya| Mayotte| Somalia| Madagascar| United Republic of Tanzania| Uganda| Réunion;;0;0;0;0;0;0;0;2;1.4314259652;2.5131573558;2.5131573558;0.2727272727;1;1;2.130654039;0;2.9824306567;5.9648613134;1;1;2
10;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;E;E;Africa;;Burundi| Ethiopia| Lake Victoria| Blue Nile| Egypt| Sudan| Uganda| Nilo River Basin;Nile River;;Nile River;;Rivers| African inland waters;Blue Nile River;;0;0;0;0;0;0;0;1.1032507566;1.7469641248;2.3830226331;2.3830226331;0;0.8571428571;0.8571428571;2.3248703432;0;1.7279246592;3.4558493184;1;1;2
11;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://aims.fao.org/aos/agrovoc/c_4510;E;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;Democratic Republic of Madagascar| Malagasy Republic;East Africa;;;0;0;0;0;0;0;0;0.130654039;1.0901501854;2.9824306567;2.9824306567;0;1;1;-1;0;0;0;1;1;1
12;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://aims.fao.org/aos/agrovoc/c_5181;E;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;Republic of the Niger;West Africa;;;0;0;0;0;0;0;0;0.1234647454;1.3418372878;2.8939633108;2.8939633108;0;1;1;0;0;0;0;1;1;1
13;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://aims.fao.org/aos/agrovoc/c_29755;E;E;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;Sahara Desert;Libyan Desert;Deserts;;;0;0;0;0;0;0;0;-0.8072485118;2.6850153429;2.5635522846;2.5635522846;0;0;0;1;1.6705911414;1.9637017398;1.9637017398;0.4615384615;1;1
14;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://aims.fao.org/aos/agrovoc/c_6734;E;E;Africa;;Niger| Chad| Mauritania| Mali| Sahara| Senegal;Sahel;;Sahel;;Africa South of Sahara;;;0;0;0;0;0;0;0;2;1.4314259652;2.5131573558;2.5131573558;0.2727272727;1;1;-1;0;0;0;1;1;1
15;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://aims.fao.org/aos/agrovoc/c_1159;E;E;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;Burundi;Republic of Burundi;Central Africa;;;0;0;0;0;0;0;0;3.0954384915;0.4086586314;1.838106873;5.514320619;0.1363636364;1;3;-1;0;0;0;1;1;1
16;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://aims.fao.org/aos/agrovoc/c_3161;E;E;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;Gabon;Gabonese Republic;Central Africa;;;0;0;0;0;0;0;0;3.0954384915;0.4086586314;1.838106873;5.514320619;0.1363636364;1;3;-1;0;0;0;1;1;1
17;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://aims.fao.org/aos/agrovoc/c_2627;E;E;Africa| Central Africa;Bioko Island| Malabo Equatorial Guinea;Gulf of Guinea;Equatorial Guinea;;Equatorial Guinea;Fernando Po| Rio Muni| Republic of Equatorial Guinea| Spanish Guinea;Central Africa;;;0;0;0;0;0;0;0;3.0954384915;0.4086586314;1.838106873;5.514320619;0.1363636364;1;3;2.1774068044;0;1.6276175713;3.2552351426;1;1;2
18;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;E;E;Africa| Central Africa;;Democratic Republic of Congo| Rwanda;Lake Kivu;;Lake Kivu;;Lakes| African inland waters;;;0;0;0;0;0;0;0;3.9376067074;1.2007208098;3.1211601603;8.3899085308;0;0.8571428571;1.8571428571;2.220446049250313e-16;0;2.636958629;5.2739172581;1;1;2
19;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://aims.fao.org/aos/agrovoc/c_6717;E;E;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;Rwanda;Republic of Rwanda| Rwandese Republic;Central Africa;;;0;0;0;0;0;0;0;3.0954384915;0.4086586314;1.838106873;5.514320619;0.1363636364;1;3;-1;0;0;0;1;1;1
20;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://aims.fao.org/aos/agrovoc/c_7497;E;E;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;Sudan;Democratic Republic of the Sudan| Republic of the Sudan;East Africa;;;0;0;0;0;0;0;0;3.261308078;0.4192860621;2.9824306567;8.9472919701;0;1;3;0;0;0;0;1;1;1
21;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://aims.fao.org/aos/agrovoc/c_1790;E;E;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;Comoros;Etat Comorien| Moheli| Anjouan| Comoro Islands| Grande Comore;East Africa;;;0;0;0;0;0;0;0;3.261308078;0.4192860621;2.9824306567;8.9472919701;0;1;3;-1;0;0;0;1;1;1
22;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://aims.fao.org/aos/agrovoc/c_2676;E;E;Africa| East Africa;Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia;Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River;Ethiopia;;Ethiopia;Abyssinia;East Africa;;;0;0;0;0;0;0;0;3.261308078;0.4192860621;2.9824306567;8.9472919701;0;1;3;-1.1102230246251563e-16;0;0;0;1;1;1
23;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://aims.fao.org/aos/agrovoc/c_4086;E;E;Africa| East Africa;Nairobi Kenya;Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya;Kenya;;Kenya;Republic of Kenya;East Africa;;;0;0;0;0;0;0;0;3.261308078;0.4192860621;2.9824306567;8.9472919701;0;1;3;0;0;0;0;1;1;1
