s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico;http://aims.fao.org/aos/agrovoc/c_1016;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico;http://aims.fao.org/aos/agrovoc/c_1631;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://aims.fao.org/aos/agrovoc/c_3720;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://aims.fao.org/aos/agrovoc/c_7517;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico;http://aims.fao.org/aos/agrovoc/c_671;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina;http://aims.fao.org/aos/agrovoc/c_239;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://aims.fao.org/aos/agrovoc/c_1432;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://aims.fao.org/aos/agrovoc/c_7265;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://aims.fao.org/aos/agrovoc/c_8355;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://aims.fao.org/aos/agrovoc/c_2442;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://aims.fao.org/aos/agrovoc/c_4510;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://aims.fao.org/aos/agrovoc/c_5181;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://aims.fao.org/aos/agrovoc/c_29755;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://aims.fao.org/aos/agrovoc/c_6734;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://aims.fao.org/aos/agrovoc/c_1159;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://aims.fao.org/aos/agrovoc/c_3161;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://aims.fao.org/aos/agrovoc/c_2627;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://aims.fao.org/aos/agrovoc/c_6717;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/eritra;http://aims.fao.org/aos/agrovoc/c_34927;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/eritra;http://aims.fao.org/aos/agrovoc/c_34927;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://aims.fao.org/aos/agrovoc/c_4964;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://aims.fao.org/aos/agrovoc/c_7497;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://aims.fao.org/aos/agrovoc/c_1790;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://aims.fao.org/aos/agrovoc/c_2676;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://aims.fao.org/aos/agrovoc/c_4086;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://aims.fao.org/aos/agrovoc/c_4532;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://aims.fao.org/aos/agrovoc/c_7017;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://aims.fao.org/aos/agrovoc/c_7237;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://aims.fao.org/aos/agrovoc/c_8501;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://aims.fao.org/aos/agrovoc/c_2346;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://aims.fao.org/aos/agrovoc/c_2346;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria;http://aims.fao.org/aos/agrovoc/c_29726;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria;http://aims.fao.org/aos/agrovoc/c_29726;E
