Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;CGIics Concept URI;CGIics Concept's PrefLabel;Broaders Of  CGIics Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Dogger| Jurassic| Middle Jurassic| Mesozoic;Aalenian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aaleniano;http://resource.geosciml.org/classifier/ics/ischart/Aalenian;Aalenian;Middle Jurassic| Middle Jurassic| Middle Jurassic| Middle Jurassic;E
Llandoverian| Paleozoic| Silurian| Lower Silurian;Aeronian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aeroniano;http://resource.geosciml.org/classifier/ics/ischart/Aeronian;Aeronian;Llandovery| Llandovery| Llandovery| Llandovery;E
Cretaceous| Lower Cretaceous| Mesozoic| Trento Italy;Albian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/albiano;http://resource.geosciml.org/classifier/ics/ischart/Albian;Albian;Lower Cretaceous| Lower Cretaceous| Lower Cretaceous| Lower Cretaceous;E
Mesozoic| Triassic| Middle Triassic;Anisian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/anisico;http://resource.geosciml.org/classifier/ics/ischart/Anisian;Anisian;Middle Triassic| Middle Triassic| Middle Triassic;E
Cretaceous| Lower Cretaceous| Mesozoic;Aptian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aptiano;http://resource.geosciml.org/classifier/ics/ischart/Aptian;Aptian;Lower Cretaceous| Lower Cretaceous| Lower Cretaceous;E
Cenozoic| Miocene| lower Miocene| Neogene| Tertiary;Aquitanian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aquitaniano;http://resource.geosciml.org/classifier/ics/ischart/Aquitanian;Aquitanian;Miocene| Miocene| Miocene| Miocene| Miocene;E
Precambrian;Archean;http://linkeddata.ge.imati.cnr.it/resource/ThIST/archeano;http://resource.geosciml.org/classifier/ics/ischart/Archean;Archean;Precambrian;E
Paleozoic| Permian| Lower Permian;Artinskian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/artinskiano;http://resource.geosciml.org/classifier/ics/ischart/Artinskian;Artinskian;Cisuralian| Cisuralian| Cisuralian;E
Paleozoic| Permian| Lower Permian;Asselian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/asseliano;http://resource.geosciml.org/classifier/ics/ischart/Asselian;Asselian;Cisuralian| Cisuralian| Cisuralian;E
Dogger| Jurassic| Middle Jurassic| Mesozoic;Bajocian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bajociano;http://resource.geosciml.org/classifier/ics/ischart/Bajocian;Bajocian;Middle Jurassic| Middle Jurassic| Middle Jurassic| Middle Jurassic;E
Cretaceous| Lower Cretaceous| Mesozoic;Barremian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/barremiano;http://resource.geosciml.org/classifier/ics/ischart/Barremian;Barremian;Lower Cretaceous| Lower Cretaceous| Lower Cretaceous;E
Cenozoic| Eocene| middle Eocene| Paleogene| Tertiary;Bartonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bartoniano;http://resource.geosciml.org/classifier/ics/ischart/Bartonian;Bartonian;Eocene| Eocene| Eocene| Eocene| Eocene;E
Carboniferous| Upper Carboniferous| Paleozoic| Westphalian;Bashkirian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/baschkiriano;http://resource.geosciml.org/classifier/ics/ischart/Bashkirian;Bashkirian;Lower Pennsylvanian| Lower Pennsylvanian| Lower Pennsylvanian| Lower Pennsylvanian;E
Dogger| Jurassic| Middle Jurassic| Mesozoic;Bathonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bathoniano;http://resource.geosciml.org/classifier/ics/ischart/Bathonian;Bathonian;Middle Jurassic| Middle Jurassic| Middle Jurassic| Middle Jurassic;E
