Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;DBPEDIA Concept URI;DBPEDIA Concept's PrefLabel;Broaders Of  DBPEDIA Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Countries in Africa;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;East Africa;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;French-speaking countries and territories;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Island countries;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Islands of Africa;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Member states of La Francophonie;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Physiographic provinces;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Southern Africa;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;States and territories established in 1960;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Wikipedia categories named after countries;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;Madagascar;Wikipedia categories named after islands;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;Niger;Countries in Africa;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;Niger;Landlocked countries;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;Niger;West African countries;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;Niger;Wikipedia categories named after countries;E
Africa;Nubia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;Nubia;Foreign contacts of ancient Egypt;E
Africa;Nubia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;Nubia;Geography of ancient Egypt;E
Africa;Nubia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;Nubia;History of Sudan;E
Africa;Nubia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;Nubia;Regions of Africa;E
Africa;Sahara;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://dbpedia.org/resource/Category:Sahara;Sahara;Deserts of Africa;E
Africa;Sahara;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://dbpedia.org/resource/Category:Sahara;Sahara;North Africa;E
Africa;Sahara;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://dbpedia.org/resource/Category:Sahara;Sahara;Wikipedia categories named after deserts;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Bantu countries and territories| Bantu countries and territories;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Central African countries| Central African countries;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Countries in Africa| Countries in Africa;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;French-speaking countries and territories| French-speaking countries and territories;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Landlocked countries| Landlocked countries;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Least developed countries| Least developed countries;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Member states of La Francophonie| Member states of La Francophonie;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Member states of the African Union| Member states of the African Union;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Republics| Republics;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Southeast Africa| Southeast Africa;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;States and territories established in 1962| States and territories established in 1962;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Swahili-speaking countries and territories| Swahili-speaking countries and territories;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;Burundi;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Bantu countries and territories| Bantu countries and territories;E
