;Unnamed: 0;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oDefinition;oAltLabels;oBT;oNT;oRT;similaritySInW;wmdistance;Mwmdistance;SMwmdistance;nhammingSim;MnhammingSim;SMnhammingSim
0;0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;;;Island countries| Islands of Africa| Physiographic provinces| Member states of the Organisation internationale de la Francophonie| Southeast African countries| East African countries| Wikipedia categories named after islands| Countries in Africa| Southern African countries| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;;;Countries in Africa| Landlocked countries| West African countries| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;14.28041801725197;1.9902500185684295;3.2067760779910683;3.2067760779910683;0.0;1.0;1.0
2;2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;E;Africa;;Egypt| Sudan| Nile Valley;Nubia;;Nubia;;;Regions of Africa| Foreign contacts of ancient Egypt| Geography of ancient Egypt| History of Sudan;;;9.18819146243331;2.024692311891819;2.9244139537391662;2.9244139537391662;0.010204081632653073;1.0;1.0
3;3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://dbpedia.org/resource/Category:Sahara;E;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;Sahara;;;Deserts of Africa| Geography of North Africa| Wikipedia categories named after deserts;;;8.192751488187305;1.9094016096975428;2.841251746827423;2.841251746827423;0.0;1.0;1.0
4;4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;E;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;Burundi;;;Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| States and territories established in 1962| French-speaking countries and territories| Wikipedia categories named after countries| Republics;;;96.17218609678288;1.3189187993187044;3.122433327312946;9.301291844541433;0.0;1.0;3.0
5;5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;E;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;Gabon;;;Member states of the African Union| Central African countries| Former French colonies| Member states of the Organisation internationale de la Francophonie| Countries in Africa| Bantu countries and territories| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;78.36938190835369;1.3351970709649505;3.2067760779910683;9.582058145204797;0.0;1.0;3.0
6;6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;E;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;Rwanda;;;Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Commonwealth republics| Bantu countries and territories| Member states of the Commonwealth of Nations| States and territories established in 1962| French-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;120.1721860967829;1.359613509808551;3.122433327312946;9.301291844541433;0.0;1.0;3.0
7;7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;E;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;Sudan;;;Member states of the Arab League| North African countries| Countries in Africa| Arabic-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries;;;39.574401908781866;1.4497510989746645;2.982430656698968;8.784263602472807;0.004784688995215336;1.0;2.2
8;8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;E;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;Comoros;;;Island countries| Member states of the Arab League| East African countries| Wikipedia categories named after islands| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Wikipedia categories named after countries;;;55.18447167563976;1.490164042566094;2.982430656698968;8.947291970096904;0.004115226337448541;1.0;3.0
9;9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;E;Africa| East Africa;Asmara Etiopia| Dahlak Islands| Mitsiwa Eritrea;Red Sea| East African Rift| Afar| Red Sea Basin| Afar Depression;Eritrea;;Eritrea;;;East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| English-speaking countries and territories| Wikipedia categories named after countries;;;43.34299059108535;1.3065438166940522;2.982430656698968;8.947291970096904;0.0052631578947368585;1.0;3.0
10;10;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://dbpedia.org/resource/Category:Ethiopia;E;Africa| East Africa;Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia;Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River;Ethiopia;;Ethiopia;;;East African countries| Countries in Africa| Landlocked countries| Federal republics| Horn of Africa| Wikipedia categories named after countries;;;43.34299059108535;1.397762321390109;2.982430656698968;8.947291970096904;0.00694444444444442;1.0;3.0
11;11;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;E;Africa| East Africa;Nairobi Kenya;Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya;Kenya;;Kenya;;;Southeast African countries| East African countries| Countries in Africa| Bantu countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics| States and territories established in 1963;;;58.76588027314957;1.4720795237602768;3.2976824080742215;9.554657618600212;0.0;1.0;3.0
12;12;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;E;Africa| East Africa;Lilongwe;East African Rift| Nyasa Lake;Malawi;;Malawi;;;States and territories established in 1964| Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;66.25140329378854;1.4675181494864107;3.2858870400079523;9.543254472639923;0.003355704697986628;1.0;3.0
13;13;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;E;Africa| East Africa;Maputo Mozambique;Nyasa Lake| Zambezi river;Mozambique;;Mozambique;;;Southeast African countries| East African countries| Member states of the Community of Portuguese Language Countries| Countries in Africa| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| Wikipedia categories named after countries| Republics;;;78.92924529926476;1.5822420449009325;2.982430656698968;8.947291970096904;0.0;1.0;3.0
14;14;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;E;Africa| East Africa;Victoria Seychelles;Indian Ocean| islands;Seychelles;;Seychelles;;;Island countries| Islands of Africa| East African countries| Wikipedia categories named after islands| Countries in Africa| Islands of the Indian Ocean| Member states of the Commonwealth of Nations| English-speaking countries and territories| Wikipedia categories named after countries| Archipelagoes of the Indian Ocean| Republics;;;87.44979159096903;1.5570101178637155;2.982430656698968;8.947291970096904;0.0030211480362537513;1.0;3.0
15;15;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;E;Africa| East Africa;Muqdisho Somalia| Afar Depression| Migiurtin;Gulf of Adenl;Somalia;;Somalia;;;Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Horn of Africa| Wikipedia categories named after countries| States and territories established in 1960;;;55.366742759852116;1.4483441062826274;3.4424924608371614;9.856044616819297;0.004115226337448541;1.0;3.0
16;16;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;E;Africa| East Africa;Lusaka Zambia;Zambezi River Basin| Congo River| Zambezi river| Congo River Basin;Zambia;;Zambia;;;States and territories established in 1964| Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries;;;75.25140329378854;1.5318740876774433;3.2858870400079523;9.543254472639923;0.0030030030030030463;1.0;3.0
17;17;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;E;Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti| Djibouti;Red Sea| Afar| Red Sea Basin;Djibouti;;Djibouti;;;Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| Wikipedia categories named after countries| Republics;;;43.36674275985211;1.3270127564148395;2.982430656698968;16.888900370561828;0.020942408376963373;1.0;3.375
18;18;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;E;Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti| Djibouti;Red Sea| Afar| Red Sea Basin;Djibouti Djibouti;;Djibouti;;;Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| Wikipedia categories named after countries| Republics;;;43.36674275985211;1.3270127564148395;2.982430656698968;16.888900370561828;0.020942408376963373;1.0;3.375
