;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoinorganico;http://eurovoc.europa.eu/5045;E;E;acids;sulfuric acid| hydrocloric acid| hydrofluoric acid;organic acids;inorganic acids;;inorganic acid;nitric acid| phosphoric acid| sulphuric acid| hydrochloric acid;inorganic chemical product;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoorganico;http://eurovoc.europa.eu/5055;E;E;acids;isoleucine| humic acids| aspartic acid| fulvic acids| alanine| carboxylic acids;inorganic acids| ketones| glycine| amino acids;organic acids;;organic acid;acetic acid| oxalic acid| fatty acid| acrylic acid| acetate| citric acid| phthalic acid| alcohol acid| aromatic acid| formic acid| ester| salicylic acid;organic chemical;;;0;0;0;0;0;0;0;-0.269058477;1.7023075207;1.788897888;1.788897888;0;0;0;1.7698675166;0.2826178144;1.8492795503;3.6381774383;0.9230769231;1;1.8
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://eurovoc.europa.eu/415;C;C;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;desert;Sahara| desert area;geophysical environment;;desertification;0.7034522728;1.3018441226;2.4884887039;34.3448967058;0.0135135135;0.4;1.2;-0.902839661;2.3432257734;2.4254763623;2.4254763623;0;0.0909090909;0.0909090909;-0.6822446474;2.505980922;1.9637017398;1.9637017398;0.1666666667;0.1666666667;0.1666666667
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/deserto;http://eurovoc.europa.eu/415;E;E;eolian features;continental dunes;wadis| Yermosols| sand seas| arid environment| deflation| playas| sand sheets| barchans| geomorphology| hammadas| oasis| ergs| desertification| pediments| dust storms| eolian deposit| yardangs| dunes| desert varnish| ecology;deserts;;desert;Sahara| desert area;geophysical environment;;desertification;5.1505353998;0.9985531507;2.6160152654;44.9444905041;0.0044642857;1;2.5333333333;0.1249154692;1.2493519333;2.222107905;3.9063534743;0.0434782609;0.1818181818;0.2727272727;-0.2669915415;0.3562835823;0.3562835823;0.3562835823;0.8571428571;0.8571428571;0.8571428571
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://eurovoc.europa.eu/302;E;E;Africa;Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea;West Africa| East Africa| Southern Africa| North Africa;Central Africa;;Central Africa;Equatorial Africa;sub-Saharan Africa;;;0;0;0;0;0;0;0;0;1.2439563659;2.0478017195;2.0478017195;0.0555555556;1;1;2.0477192458;0;1.838106873;3.676213746;1;1;2
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://eurovoc.europa.eu/342;E;E;Africa;Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho;Damara Orogeny| West Africa| Central Africa| East Africa| North Africa;Southern Africa;;Southern Africa;;sub-Saharan Africa;;;0;0;0;0;0;0;0;0;1.2439563659;2.0478017195;2.0478017195;0.0555555556;1;1;2.0890157234;0;2.3299654956;4.6599309913;1;1;2
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://eurovoc.europa.eu/351;E;E;Africa;Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal;Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa;West Africa;;West Africa;;sub-Saharan Africa;;;0;0;0;0;0;0;0;0;1.2439563659;2.0478017195;2.0478017195;0.0555555556;1;1;2.1234647454;0;2.8939633108;5.7879266215;1;1;2
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://eurovoc.europa.eu/357;E;E;Africa;Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia;Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel;East Africa;;East Africa;;sub-Saharan Africa;;;0;0;0;0;0;0;0;0;1.2439563659;2.0478017195;2.0478017195;0.0555555556;1;1;2.130654039;0;2.9824306567;5.9648613134;1;1;2
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://eurovoc.europa.eu/1729;E;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;Republic of Madagascar| Malagasy Republic;ACP countries| East Africa;;;0;0;0;0;0;0;0;0.8176844485;1.5395835466;2.9824306567;2.9824306567;0.0769230769;1;1;-1;0;0;0;1;1;1
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;E;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;Republic of Niger;West Africa| ACP countries| Ecowas countries| WAEMU countries;;;0;0;0;0;0;0;0;4.1234647454;1.8331860804;2.8939633108;2.8939633108;0;1;1;0;0;0;0;1;1;1
