s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoinorganico;http://eurovoc.europa.eu/5045;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoorganico;http://eurovoc.europa.eu/5055;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://eurovoc.europa.eu/415;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://eurovoc.europa.eu/302;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://eurovoc.europa.eu/342;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://eurovoc.europa.eu/351;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://eurovoc.europa.eu/357;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://eurovoc.europa.eu/1729;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://eurovoc.europa.eu/1729;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://eurovoc.europa.eu/3804;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://eurovoc.europa.eu/5072;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://eurovoc.europa.eu/5072;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://eurovoc.europa.eu/3784;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://eurovoc.europa.eu/3784;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://eurovoc.europa.eu/5617;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://eurovoc.europa.eu/5617;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://eurovoc.europa.eu/891;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://eurovoc.europa.eu/891;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;E
