Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;GEMET Concept URI;GEMET Concept's PrefLabel;Definition;Broaders Of  GEMET Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)";;If E the 1;If C the 1;If N the 1;if Na ;
acids| inorganic acids;hydrocloric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://www.eionet.europa.eu/gemet/concept/4094;hydrochloric acid;"A solution of hydrogen chloride gas in water; a poisonous, pungent liquid forming a constant-boiling mixture at 20% concentration in water; widely used as a reagent, in organic synthesis, in acidizing oil wells, ore reduction, food processing, and metal cleaning and pickling. Also known as muriatic acid.";acid| acid;E;;1;0;0;0;1
acids| inorganic acids;hydrocloric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://www.eionet.europa.eu/gemet/concept/4094;hydrochloric acid;"A solution of hydrogen chloride gas in water; a poisonous, pungent liquid forming a constant-boiling mixture at 20% concentration in water; widely used as a reagent, in organic synthesis, in acidizing oil wells, ore reduction, food processing, and metal cleaning and pickling. Also known as muriatic acid.";inorganic substance| inorganic substance;E;;1;0;0;0;1
acids| inorganic acids;sulfuric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://www.eionet.europa.eu/gemet/concept/8203;sulphuric acid;"A toxic, corrosive, strongly acid, colorless liquid that is miscible with water and dissolves most metals, and melts at 10C; used in industry in the manufacture of chemicals, fertilizers and explosives, and in petroleum refining.";inorganic substance| inorganic substance;E;;1;0;0;0;1
Africa;Central Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://www.eionet.europa.eu/gemet/concept/1255;Central Africa;A geographic region of the African continent close to the equator that includes Cameroon, Chad, Equatorial Guinea, Gabon, the Central African Republic and the Democratic Republic of Congo.;Africa;E;;1;0;0;0;1
Africa;Southern Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://www.eionet.europa.eu/gemet/concept/7950;Southern Africa;A geographic region of the African continent astride the Tropic of Capricorn, including Angola, Botswana, Lesotho, Malawi, Mozambique, Namibia, South Africa, Swaziland, Zambia and Zimbabwe, and also the Kalahari Desert, Zambezi River and Orange River.;Africa;E;;1;0;0;0;1
Africa;West Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://www.eionet.europa.eu/gemet/concept/9293;West Africa;A geographic region of the African continent bordered in the west and south by the Atlantic Ocean, including the republics of Benin, Burkina Faso, Cabo Verde, Cote D'ivoire, Gambie, Ghana, Guinee Bissau, Liberia, Mali, Mauritanie, Niger, Nigeria, Sengegal, Sierra Leone and Togo.;Africa;E;;1;0;0;0;1
Africa;East Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://www.eionet.europa.eu/gemet/concept/2411;East Africa;A geographic region of the African continent that includes Burundi, Kenya, Rwanda, Tanzania, Uganda, Ethiopia and Somalia, and also Mt. Kilimanjaro and Lake Victoria.;Africa;E;;1;0;0;0;1
Africa| Southern Africa| France| Reunion;Europa Island;http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://www.eionet.europa.eu/gemet/concept/2992;Europe;The second smallest continent, forming the W extension of Eurasia: the border with Asia runs from the Urals to the Caspian and the Black Sea. The coastline is generally extremely indented and there are several peninsulas (notably Scandinavia, Italy and Iberia) and offshore islands (including the British Isles and Iceland). It contains a series of great mountain systems in the south (Pyrenees, Alps, Apennines, Carpathians, Caucasus), a large central plain, and a N region of lakes and mountains in Scandinavia.;world| world| world| world;C;;0;1;0;0;1
Africa| Southern Africa| France| Reunion;Europe;http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://www.eionet.europa.eu/gemet/concept/2992;Europe;The second smallest continent, forming the W extension of Eurasia: the border with Asia runs from the Urals to the Caspian and the Black Sea. The coastline is generally extremely indented and there are several peninsulas (notably Scandinavia, Italy and Iberia) and offshore islands (including the British Isles and Iceland). It contains a series of great mountain systems in the south (Pyrenees, Alps, Apennines, Carpathians, Caucasus), a large central plain, and a N region of lakes and mountains in Scandinavia.;world| world| world| world;E;;1;0;0;0;1
America;Central America;http://linkeddata.ge.imati.cnr.it/resource/ThIST/americacentrale;http://www.eionet.europa.eu/gemet/concept/1256;Central America;A narrow continental region of the Western hemisphere, existing as a bridge between North and South America, often considered to be the southern portion of North America, and including countries such as Guatemala, Belize, El Salvador, Honduras, Nicaragua, Costa Rica and Panama.;Americas;E;;1;0;0;0;1
analysis;chemical analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisichimica;http://www.eionet.europa.eu/gemet/concept/1298;chemical analysis;The complex of operations aiming to determine the kinds of constituents of a given substance.;analysis;E;;1;0;0;0;1
analysis;statistical analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisistatistica;http://www.eionet.europa.eu/gemet/concept/8074;statistical analysis;The body of techniques used in statistical inference concerning a population.;analysis;E;;1;0;0;0;1
analysis;colorimetry;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colorimetria;http://www.eionet.europa.eu/gemet/concept/1570;colourimetry;"Any technique by which an unknown colour is evaluated in terms of standard colours; the technique may be visual, photoelectric or indirect by means of spectrophotometry.";laboratory technique;E;;1;0;0;0;1
analysis;chromatography;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia;http://www.eionet.europa.eu/gemet/concept/1400;chromatography;A method of separating and analyzing mixtures of chemical substances by selective adsorption in a column of powder or on a strip of paper.;laboratory technique;E;;1;0;0;0;1
