oBT,oNT,oRT,o,oPrefLabel,oAltLabels
Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae| Pinaceae,Abies cephalonica| Abies mariesii| Abies borisii regis| Abies grandis| Abies sachalinensis| Abies pinsapo| Abies concolor| Abies pindrow| Abies magnifica| Abies amabilis| Abies procera| Abies veitchii| Abies balsamea| Abies fraseri| Abies nordmanniana| Abies numidica| Abies guatemalensis| Abies alba| Abies firma| Abies religiosa| Abies lasiocarpa| Abies sibirica| Abies cephalonica| Abies mariesii| Abies borisii regis| Abies grandis| Abies sachalinensis| Abies pinsapo| Abies concolor| Abies pindrow| Abies magnifica| Abies amabilis| Abies procera| Abies veitchii| Abies balsamea| Abies fraseri| Abies nordmanniana| Abies numidica| Abies guatemalensis| Abies alba| Abies firma| Abies religiosa| Abies lasiocarpa| Abies sibirica,,http://aims.fao.org/aos/agrovoc/c_10,Abies,firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firsz| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs| firs
symptoms| symptoms,,,http://aims.fao.org/aos/agrovoc/c_10004,collapse,
Musculoskeletal system| Musculoskeletal system| Musculoskeletal system| Musculoskeletal system| Musculoskeletal system| Musculoskeletal system| Musculoskeletal system,Coccyx| Skull| Spine| Limb bones| Costae| Sternum| Pelvis,,http://aims.fao.org/aos/agrovoc/c_1001,Bones,Skeleton| Skeleton| Skeleton| Skeleton| Skeleton| Skeleton| Skeleton
enterprises,,,http://aims.fao.org/aos/agrovoc/c_10045,Companies,
Functional disorders,,,http://aims.fao.org/aos/agrovoc/c_10077,Constipation,
Genetic soil types,,,http://aims.fao.org/aos/agrovoc/c_101,Acrisols,Ultisols
Borates,,,http://aims.fao.org/aos/agrovoc/c_1011,Borax,
Inorganic acids,,,http://aims.fao.org/aos/agrovoc/c_1016,Boric acid,
South East Asia,,,http://aims.fao.org/aos/agrovoc/c_1017,Borneo,
Semimetals,,,http://aims.fao.org/aos/agrovoc/c_1018,Boron,B (symbol)
