o,oPrefLabel,oDefinition,oAltLabels,oBT,oNT,oRT
http://dbpedia.org/resource/Category:Abrasives,Abrasives,,,Manufacturing| Grinding and lapping,,
http://dbpedia.org/resource/Category:Acceleration,Acceleration,,,Length| Physical quantities| Dynamics (mechanics)| Temporal rates| Kinematics| Velocity,,
http://dbpedia.org/resource/Category:Acids,Acids,,,Acid–base chemistry| Chemical compounds,,
http://dbpedia.org/resource/Category:Actiniaria,Actiniaria,,,Hexacorallia,,
http://dbpedia.org/resource/Category:Actinides,Actinides,,,Sets of chemical elements| Metallic elements,,
http://dbpedia.org/resource/Category:Actinium,Actinium,,,Actinides| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Aerosols,Aerosols,,,Colloids,,
http://dbpedia.org/resource/Category:Afghanistan,Afghanistan,,,Pashto-speaking countries and territories| Iranian-speaking countries and territories| South Asian countries| Central Asian countries| Landlocked countries| Countries in Asia| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Africa,Africa,,,Wikipedia categories named after continents| Afro-Eurasia| Continents,,
http://dbpedia.org/resource/Category:Age,Age,,,,,
http://dbpedia.org/resource/Category:Agnostida,Agnostida,,,Trilobite taxonomy,,
http://dbpedia.org/resource/Category:Agriculture,Agriculture,,,Land management| Food and drink| Applied sciences,,
http://dbpedia.org/resource/Category:Airfields,Airfields,,,"Aerodromes| Stations, terminals and stops| Aviation infrastructure",,
http://dbpedia.org/resource/Category:Alaska,Alaska,,,Western United States| States of the United States| Regions of the Arctic,,
http://dbpedia.org/resource/Category:Albania,Albania,,,Member states of the Organisation internationale de la Francophonie| Balkan countries| Southeastern European countries| Countries in Europe| Southern European countries| Albanian-speaking countries and territories| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Alcohols,Alcohols,,,Oxygen compounds| Oxygen compounds| Organic compounds| Organic compounds,,Alcohol| Alcoholic drinks| Alcohol| Alcoholic drinks
http://dbpedia.org/resource/Category:Algae,Algae,,,Aquatic organisms| Botanical nomenclature,,
http://dbpedia.org/resource/Category:Algeria,Algeria,,,Member states of the African Union| Member states of the Arab League| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| States and territories established in 1962| Wikipedia categories named after countries| Republics| 1962 establishments in Africa,,
http://dbpedia.org/resource/Category:Algorithms,Algorithms,,,Applied mathematics| Mathematical concepts| Computer programming| Algorithms and data structures,,
http://dbpedia.org/resource/Category:Alkanes,Alkanes,,,Hydrocarbons| Organic compounds,,
http://dbpedia.org/resource/Category:Alkenes,Alkenes,,,Hydrocarbons| Organic compounds,,
http://dbpedia.org/resource/Category:Alkynes,Alkynes,,,Hydrocarbons,,
http://dbpedia.org/resource/Category:Alloys,Alloys,,,Chemical mixtures| Metals,,
http://dbpedia.org/resource/Category:Alnus,Alnus,,,Betulaceae,,
http://dbpedia.org/resource/Category:Alps,Alps,,,Geography of Western Europe| Geography of Western Europe| Geography of Western Europe| Geography of Western Europe| Geography of Western Europe| Geography of Western Europe| Geography of Western Europe| Geography of Central Europe| Geography of Central Europe| Geography of Central Europe| Geography of Central Europe| Geography of Central Europe| Geography of Central Europe| Geography of Central Europe| Wikipedia categories named after mountain ranges| Wikipedia categories named after mountain ranges| Wikipedia categories named after mountain ranges| Wikipedia categories named after mountain ranges| Wikipedia categories named after mountain ranges| Wikipedia categories named after mountain ranges| Wikipedia categories named after mountain ranges| Mountain ranges of Europe| Mountain ranges of Europe| Mountain ranges of Europe| Mountain ranges of Europe| Mountain ranges of Europe| Mountain ranges of Europe| Mountain ranges of Europe,,Italy| Germany| Austria| France| Switzerland| Liechtenstein| Slovenia| Italy| Germany| Austria| France| Switzerland| Liechtenstein| Slovenia| Italy| Germany| Austria| France| Switzerland| Liechtenstein| Slovenia| Italy| Germany| Austria| France| Switzerland| Liechtenstein| Slovenia
http://dbpedia.org/resource/Category:Alsace,Alsace,,,"Grand Est| Former regions of France| Germanic countries and territories| Geographical, historical and cultural regions of France| Former provinces of France",,
http://dbpedia.org/resource/Category:Aluminosilicates,Aluminosilicates,,,Silicates| Aluminium compounds,,
http://dbpedia.org/resource/Category:Aluminum,Aluminum,,,,,
http://dbpedia.org/resource/Category:America,America,,,,,
http://dbpedia.org/resource/Category:Americium,Americium,,,Actinides| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Amman,Amman,,,Decapolis| Populated places in the Amman Governorate| Wikipedia categories named after populated places in Jordan| Capitals in Asia| Wikipedia categories named after capitals,,
http://dbpedia.org/resource/Category:Analysis,Analysis,,,Problem solving methods| A priori| Critical thinking| Applied sciences| Philosophical methodology| Cognition,,
http://dbpedia.org/resource/Category:Anatolia,Anatolia,,,History of Turkey| History of Turkey| History of Turkey| Near East| Near East| Near East| History of Western Asia| History of Western Asia| History of Western Asia| Geography of Turkey| Geography of Turkey| Geography of Turkey| Wikipedia categories named after peninsulas| Wikipedia categories named after peninsulas| Wikipedia categories named after peninsulas,,Classical Anatolia| Prehistoric Anatolia| Ancient Anatolia| Classical Anatolia| Prehistoric Anatolia| Ancient Anatolia| Classical Anatolia| Prehistoric Anatolia| Ancient Anatolia| Classical Anatolia| Prehistoric Anatolia| Ancient Anatolia| Classical Anatolia| Prehistoric Anatolia| Ancient Anatolia
http://dbpedia.org/resource/Category:Anatomy,Anatomy,,,Zoology| Morphology| Branches of biology| Structure,,
http://dbpedia.org/resource/Category:Andes,Andes,,,Regions of South America| Mountain ranges of South America| Wikipedia categories named after mountain ranges,,
http://dbpedia.org/resource/Category:Andorra,Andorra,,,Principalities| Prince-Bishoprics| Spanish-speaking countries and territories| Member states of the Organisation internationale de la Francophonie| Member states of the Council of Europe| Països Catalans| Landlocked countries| Romance countries and territories| Iberian Peninsula| Countries in Europe| Pyrenees| French-speaking countries and territories| Southern European countries| Monarchies of Europe| Wikipedia categories named after countries| Diarchies| Southwestern European countries| States and territories established in 1278,,
http://dbpedia.org/resource/Category:Angiosperms,Angiosperms,,,Plants| Plant taxonomy| Flowers,,
http://dbpedia.org/resource/Category:Angola,Angola,,,Central African countries| Member states of the Community of Portuguese Language Countries| Countries in Africa| Bantu countries and territories| Southern African countries| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Anguilla,Anguilla,,,Island countries| British Overseas Territories| Wikipedia categories named after dependent territories| Caribbean territories or dependencies| Wikipedia categories named after islands| Leeward Islands (Caribbean),,
http://dbpedia.org/resource/Category:Anions,Anions,,,Ions,,
http://dbpedia.org/resource/Category:Annonaceae,Annonaceae,,,Magnoliales,,
http://dbpedia.org/resource/Category:Antananarivo,Antananarivo,,,Cities in Madagascar| Capitals in Africa| Populated places in Madagascar| Wikipedia categories named after capitals,,
http://dbpedia.org/resource/Category:Antarctica,Antarctica,,,Wikipedia categories named after continents| Polar regions of the Earth| Continents| Antarctic region,,
http://dbpedia.org/resource/Category:Anthozoa,Anthozoa,,,Cnidarians,,
http://dbpedia.org/resource/Category:Anthropology,Anthropology,,,Museology| Humanities| Social sciences,,
http://dbpedia.org/resource/Category:Antimonides,Antimonides,,,Antimony compounds,,
http://dbpedia.org/resource/Category:Antimony,Antimony,,,Pnictogens| Metalloids| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Apennines,Apennines,,,,,
http://dbpedia.org/resource/Category:Aquifers,Aquifers,,,Water and the environment| Hydrology| Bodies of water,,
http://dbpedia.org/resource/Category:Aquitaine,Aquitaine,,,"Former regions of France| Geographical, historical and cultural regions of France| Nouvelle-Aquitaine",,
http://dbpedia.org/resource/Category:Arachnida,Arachnida,,,,,
http://dbpedia.org/resource/Category:Archaeology,Archaeology,,,Humanities| Conservation and restoration| Auxiliary sciences of history| Fields of history,,
http://dbpedia.org/resource/Category:Archean,Archean,,,Geological eons| Precambrian,,
http://dbpedia.org/resource/Category:Argentina,Argentina,,,Spanish-speaking countries and territories| Federal republics| Countries in South America| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Argon,Argon,,,Noble gases| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Armenia,Armenia,,,Western Asian countries| Transcaucasia| Landlocked countries| Eastern European countries| Kurdish-speaking countries and territories| Wikipedia categories named after countries| Republics| Armenian-speaking countries and territories,,
http://dbpedia.org/resource/Category:Arrays,Arrays,,,Data structures,,Computer memory
http://dbpedia.org/resource/Category:Arsenates,Arsenates,,,Arsenic compounds,,
http://dbpedia.org/resource/Category:Arsenic,Arsenic,,,Pnictogens| Metalloids| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Arsenites,Arsenites,,,Arsenic compounds,,
http://dbpedia.org/resource/Category:Artemisia,,,,,,
http://dbpedia.org/resource/Category:Arthropoda,Arthropoda,,,,,
http://dbpedia.org/resource/Category:Asbestos,Asbestos,,,Fibers| Minerals| Toxicology,,
http://dbpedia.org/resource/Category:Asia,Asia,,,Wikipedia categories named after continents| Afro-Eurasia| Eurasia| Continents,,
http://dbpedia.org/resource/Category:Asphalt,Asphalt,,,Chemical mixtures| Amorphous solids| Road construction| Petroleum products| Building materials,,
http://dbpedia.org/resource/Category:Associations,Associations,,,Corporate groups| Clubs and societies| Non-profit organizations by type,,
http://dbpedia.org/resource/Category:Astana,Astana,,,Cities and towns in Kazakhstan| Populated places in Kazakhstan| Regions of Kazakhstan| Capitals in Asia| Wikipedia categories named after capitals,,
http://dbpedia.org/resource/Category:Astatine,Astatine,,,Halogens| Metalloids| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Asteroids,Asteroids,,,Minor planets,,
http://dbpedia.org/resource/Category:Atlantis,Atlantis,,,Fictional islands| Pseudoarchaeology| Plato| Fictional sunken cities| Esoteric anthropogenesis| Pseudohistory| Phantom islands| Fictional continents| Earth mysteries| Mythical lost cities and towns,,
http://dbpedia.org/resource/Category:Atmosphere,Atmosphere,,,Planets| Gases,,
http://dbpedia.org/resource/Category:Atolls,Atolls,,,Islands| Coral reefs| Volcanoes| Coastal and oceanic landforms,,
http://dbpedia.org/resource/Category:Aulacogens,Aulacogens,,,Plate tectonics| Rifts and grabens,,
http://dbpedia.org/resource/Category:Aurora,Aurora,,,,,
http://dbpedia.org/resource/Category:Australia,Australia,,,States and territories established in 1901| Island countries| Australia (continent)| Federal monarchies| Countries in Oceania| Member states of the Commonwealth of Nations| English-speaking countries and territories| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Austria,Austria,,,Central European countries| Member states of the Council of Europe| Germanic countries and territories| German-speaking countries and territories| Landlocked countries| Federal republics| Member states of the European Union| Countries in Europe| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Aves,Aves,,,,,
http://dbpedia.org/resource/Category:Azerbaijan,Azerbaijan,,,Western Asian countries| Caspian littoral states| Transcaucasia| Azerbaijani-speaking countries and territories| Modern Turkic states| Landlocked countries| Eastern European countries| Wikipedia categories named after countries| Republics| Muslim-majority countries,,
http://dbpedia.org/resource/Category:Azores,Azores,,,Geography of Southwestern Europe| Geography of Southwestern Europe| Outermost regions of the European Union| Outermost regions of the European Union| Archipelagoes of the Atlantic Ocean| Archipelagoes of the Atlantic Ocean| Autonomous Regions of Portugal| Autonomous Regions of Portugal| Wikipedia categories named after islands| Wikipedia categories named after islands| NUTS 2 statistical regions of Portugal| NUTS 2 statistical regions of Portugal| Volcanic islands| Volcanic islands| Islands of Macaronesia| Islands of Macaronesia| Integral overseas territories| Integral overseas territories,,Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe| Archipelagoes of the Atlantic Ocean| Southwestern Europe
http://dbpedia.org/resource/Category:Bacteria,Bacteria,,,Microbiology| Microorganisms| Domains (biology)| Prokaryotes,,
http://dbpedia.org/resource/Category:Badlands,Badlands,,,Geomorphology| Erosion landforms,,
