oBT,oNT,oRT,o,oPrefLabel,oAltLabels
,,financing of aid| loan,http://eurovoc.europa.eu/1000,financing,
EU Member State| Nordic Council countries| OECD countries| Northern Europe| Council of Europe countries,,regions of Finland| regions of Finland| regions of Finland| regions of Finland| regions of Finland,http://eurovoc.europa.eu/1019,Finland,Republic of Finland| Republic of Finland| Republic of Finland| Republic of Finland| Republic of Finland
halogen,,,http://eurovoc.europa.eu/1042,fluorine,
UN specialised agency,,international monetary system,http://eurovoc.europa.eu/1043,International Monetary Fund,IMF
marine environment| marine environment| marine environment| marine environment,,oceanography| resources of the sea| exploitation of the sea-bed| exploitation of the seas,http://eurovoc.europa.eu/1050,sea-bed,deep sea-bed| deep sea-bed| deep sea-bed| deep sea-bed
iron and steel product,,,http://eurovoc.europa.eu/1059,cast-iron,
mining of ore,,offshore drilling,http://eurovoc.europa.eu/1060,drilling,well drilling
,,arboriculture| wood product| wooded area,http://eurovoc.europa.eu/1063,forest,woodland| woodland| woodland
,,professional qualifications| personal development| vocational education| European Training Foundation| trans-European network| recognition of vocational training qualifications| adult education| integrated development programme| vocational retraining| Cedefop| professional qualifications| personal development| vocational education| European Training Foundation| trans-European network| recognition of vocational training qualifications| adult education| integrated development programme| vocational retraining| Cedefop| professional qualifications| personal development| vocational education| European Training Foundation| trans-European network| recognition of vocational training qualifications| adult education| integrated development programme| vocational retraining| Cedefop| professional qualifications| personal development| vocational education| European Training Foundation| trans-European network| recognition of vocational training qualifications| adult education| integrated development programme| vocational retraining| Cedefop| professional qualifications| personal development| vocational education| European Training Foundation| trans-European network| recognition of vocational training qualifications| adult education| integrated development programme| vocational retraining| Cedefop,http://eurovoc.europa.eu/1074,vocational training,sandwich training| sandwich training| sandwich training| sandwich training| sandwich training| sandwich training| sandwich training| sandwich training| sandwich training| sandwich training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| pre-vocational training| distance training| distance training| distance training| distance training| distance training| distance training| distance training| distance training| distance training| distance training| manpower training| manpower training| manpower training| manpower training| manpower training| manpower training| manpower training| manpower training| manpower training| manpower training| e-training| e-training| e-training| e-training| e-training| e-training| e-training| e-training| e-training| e-training
EU Member State| WEU countries| Western Europe| OECD countries| Council of Europe countries| NATO countries,,regions of France| regions of France| regions of France| regions of France| regions of France| regions of France,http://eurovoc.europa.eu/1085,France,French Republic| French Republic| French Republic| French Republic| French Republic| French Republic
food preserving,,frozen product,http://eurovoc.europa.eu/109,freezing,
CAEMC countries| ACP countries| Central Africa| CAEMC countries| ACP countries| Central Africa| CAEMC countries| ACP countries| Central Africa,,,http://eurovoc.europa.eu/111,Congo,Congo Brazzaville| Congo Brazzaville| Congo Brazzaville| French Congo| French Congo| French Congo| Republic of the Congo| Republic of the Congo| Republic of the Congo
,,fruit juice| fruit product| fruit-growing| early fruit and vegetables,http://eurovoc.europa.eu/1115,fruit,
nuclear technology| nuclear technology| nuclear technology,,plasma physics| Joint European Torus| nuclear energy,http://eurovoc.europa.eu/1123,nuclear fusion,thermonuclear fusion| thermonuclear fusion| thermonuclear fusion
CAEMC countries| ACP countries| Central Africa,,,http://eurovoc.europa.eu/1124,Gabon,Gabonese Republic| Gabonese Republic| Gabonese Republic
Eastern Europe| CEFTA countries| Council of Europe countries| Western Balkans,,,http://eurovoc.europa.eu/1125,Albania,Republic of Albania| Republic of Albania| Republic of Albania| Republic of Albania
regions of Spain,,,http://eurovoc.europa.eu/1127,Galicia,Autonomous Community of Galicia
West Africa| ACP countries| Ecowas countries,,,http://eurovoc.europa.eu/1128,Gambia,Republic of the Gambia| Republic of the Gambia| Republic of the Gambia
fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel| fuel,,propane gas| gas appliance| butane| natural gas| gas supply| propane gas| gas appliance| butane| natural gas| gas supply| propane gas| gas appliance| butane| natural gas| gas supply,http://eurovoc.europa.eu/1139,gas,blast-furnace gas| blast-furnace gas| blast-furnace gas| blast-furnace gas| blast-furnace gas| gaseous fuel| gaseous fuel| gaseous fuel| gaseous fuel| gaseous fuel| coke-oven gas| coke-oven gas| coke-oven gas| coke-oven gas| coke-oven gas
hydrocarbon| hydrocarbon| hydrocarbon| hydrocarbon,,energy-generating product| biogas| hydrogen production| fossil fuel,http://eurovoc.europa.eu/1141,natural gas,
public works,,engineering structure,http://eurovoc.europa.eu/1145,civil engineering,
geology,,chemistry,http://eurovoc.europa.eu/1147,geochemistry,
earth sciences,,,http://eurovoc.europa.eu/1148,geography,
geography,,,http://eurovoc.europa.eu/1149,economic geography,
geography| geography,,political science| geopolitics,http://eurovoc.europa.eu/1150,political geography,
earth sciences| earth sciences| earth sciences,,,http://eurovoc.europa.eu/1151,geology,tectonics| geological survey| geological study
geology| geology,,physical sciences| physical sciences,http://eurovoc.europa.eu/1152,geophysics,geophysical survey| geophysical study
,,work study,http://eurovoc.europa.eu/1154,management,
West Africa| ACP countries| Ecowas countries,,,http://eurovoc.europa.eu/1166,Ghana,Republic of Ghana| Republic of Ghana| Republic of Ghana
Southern Europe| United Kingdom OCT,,,http://eurovoc.europa.eu/1168,Gibraltar,
water,,,http://eurovoc.europa.eu/1169,ice,
maritime area,,,http://eurovoc.europa.eu/1171,gulf,bay
Caribbean Islands,,,http://eurovoc.europa.eu/1180,Greater Antilles,
EU Member State| WEU countries| OECD countries| Southern Europe| Council of Europe countries| NATO countries,,regions of Greece| regions of Greece| regions of Greece| regions of Greece| regions of Greece| regions of Greece,http://eurovoc.europa.eu/1182,Greece,Hellenic Republic| Hellenic Republic| Hellenic Republic| Hellenic Republic| Hellenic Republic| Hellenic Republic
OAS countries| ACP countries| Lesser Antilles| Caricom countries| LAES countries,,,http://eurovoc.europa.eu/1185,Grenada,
labour dispute| labour dispute| labour dispute| labour dispute| labour dispute| labour dispute| labour dispute| labour dispute,,hunger strike| right to strike| hunger strike| right to strike| hunger strike| right to strike| hunger strike| right to strike,http://eurovoc.europa.eu/1186,strike,working to rule| working to rule| sympathy strike| sympathy strike| wildcat strike| wildcat strike| sit-in strike| sit-in strike
regions of Portugal,,,http://eurovoc.europa.eu/1187,Algarve,
Nordic Council countries| North America,,regions of Denmark| regions of Denmark,http://eurovoc.europa.eu/1188,Greenland,
Maghreb| Mediterranean third countries| Arab League countries| OPEC countries,,,http://eurovoc.europa.eu/1196,Algeria,People’s Democratic Republic of Algeria| People’s Democratic Republic of Algeria| People’s Democratic Republic of Algeria| People’s Democratic Republic of Algeria
aquatic plant| aquatic plant| aquatic plant| aquatic plant,,gelatine| fishery product| aquaculture| eutrophication,http://eurovoc.europa.eu/1204,algae,seaweed| seaweed| seaweed| seaweed
French West Indies| French overseas department and region,,,http://eurovoc.europa.eu/1207,Guadeloupe,
Central America| OAS countries| CACM countries| LAES countries| CAIS countries,,,http://eurovoc.europa.eu/1208,Guatemala,Republic of Guatemala| Republic of Guatemala| Republic of Guatemala| Republic of Guatemala| Republic of Guatemala
West Africa| ACP countries| Ecowas countries,,,http://eurovoc.europa.eu/1216,Guinea,Republic of Guinea| Republic of Guinea| Republic of Guinea
West Africa| ACP countries| Ecowas countries| WAEMU countries| West Africa| ACP countries| Ecowas countries| WAEMU countries,,,http://eurovoc.europa.eu/1217,Guinea-Bissau,Portuguese Guinea| Portuguese Guinea| Portuguese Guinea| Portuguese Guinea| Republic of Guinea-Bissau| Republic of Guinea-Bissau| Republic of Guinea-Bissau| Republic of Guinea-Bissau
CAEMC countries| ACP countries| Central Africa,,,http://eurovoc.europa.eu/1218,Equatorial Guinea,Republic of Equatorial Guinea| Republic of Equatorial Guinea| Republic of Equatorial Guinea
OAS countries| ACP countries| South America| Caricom countries| LAES countries,,,http://eurovoc.europa.eu/1219,Guyana,Cooperative Republic of Guyana| Cooperative Republic of Guyana| Cooperative Republic of Guyana| Cooperative Republic of Guyana| Cooperative Republic of Guyana
,,human geography| human geography,http://eurovoc.europa.eu/1221,habitat,human settlement| human habitat
OAS countries| Greater Antilles| ACP countries| Caricom countries| LAES countries,,,http://eurovoc.europa.eu/1228,Haiti,Republic of Haiti| Republic of Haiti| Republic of Haiti| Republic of Haiti| Republic of Haiti
chemical element,,,http://eurovoc.europa.eu/1229,halogen,
regions of Germany,,,http://eurovoc.europa.eu/1230,Hamburg,Hamburg (Free Hanseatic City of)
Polynesia,,,http://eurovoc.europa.eu/1237,Hawaii,Hawaiian Islands
regions of Germany,,,http://eurovoc.europa.eu/1239,Hesse,Hesse (Land)
social sciences,,historical geography,http://eurovoc.europa.eu/1245,history,
biology,,,http://eurovoc.europa.eu/1246,histology,
Central America| OAS countries| CACM countries| LAES countries| CAIS countries,,,http://eurovoc.europa.eu/1253,Honduras,Republic of Honduras| Republic of Honduras| Republic of Honduras| Republic of Honduras| Republic of Honduras
Far East| APEC countries| Far East| APEC countries| Far East| APEC countries| Far East| APEC countries,,,http://eurovoc.europa.eu/1254,Hong Kong,Hong Kong Special Administrative Region| Hong Kong Special Administrative Region| Hong Kong (China)| Hong Kong (China)| Hong Kong Special Administrative Region of the People’s Republic of China| Hong Kong Special Administrative Region of the People’s Republic of China| Hong Kong SAR| Hong Kong SAR
EU Member State| Warsaw Pact countries| Eastern Europe| OECD countries| Council of Europe countries| NATO countries,,regions of Hungary| regions of Hungary| regions of Hungary| regions of Hungary| regions of Hungary| regions of Hungary,http://eurovoc.europa.eu/1255,Hungary,Republic of Hungary| Republic of Hungary| Republic of Hungary| Republic of Hungary| Republic of Hungary| Republic of Hungary
petroleum product,,,http://eurovoc.europa.eu/1266,heavy oil,
,,food consumption| nutritional disease| FAO| food supplement| food expenditure,http://eurovoc.europa.eu/1268,nutrition,food| food| food| food| food
chemical element,,hydrogen production,http://eurovoc.europa.eu/1275,hydrogen,
geology,,groundwater,http://eurovoc.europa.eu/1276,hydrogeology,
earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences| earth sciences,,freshwater| water management in agriculture| water resources| water| freshwater| water management in agriculture| water resources| water| freshwater| water management in agriculture| water resources| water,http://eurovoc.europa.eu/1278,hydrology,limnology| limnology| limnology| limnology| hydrography| hydrography| hydrography| hydrography| river hydrology| river hydrology| river hydrology| river hydrology
geophysical environment,,island region,http://eurovoc.europa.eu/1287,island,
Mariana Islands| countries of the Pacific Community| Mariana Islands| countries of the Pacific Community,,United States| United States| United States| United States,http://eurovoc.europa.eu/1289,Guam,Territory of Guam| Territory of Guam| Island of Guam| Island of Guam
regions of Greece| regions of Greece,,,http://eurovoc.europa.eu/1295,Ionian Islands,Corfu| Corfu
migration,,,http://eurovoc.europa.eu/1302,immigration,
trading operation| trading operation| trading operation| trading operation| trading operation,,import tax| free circulation| customs valuation| import monopoly| countervailing charge,http://eurovoc.europa.eu/1309,import,
