oBT,oNT,oRT,o,oPrefLabel,oAltLabels
traffic infrastructure,,,http://www.eionet.europa.eu/gemet/concept/1001,bridge,
engineering,,,http://www.eionet.europa.eu/gemet/concept/10055,seismic engineering,
element of group VII,,,http://www.eionet.europa.eu/gemet/concept/1007,bromine,
risk,,,http://www.eionet.europa.eu/gemet/concept/10102,natural risk,
scientific ecology,,,http://www.eionet.europa.eu/gemet/concept/10135,palaeoecology,
parameter,,,http://www.eionet.europa.eu/gemet/concept/10140,altitude,
valley,,,http://www.eionet.europa.eu/gemet/concept/10143,canyon,
continental shelf,,,http://www.eionet.europa.eu/gemet/concept/10148,continent,
earth's crust,,,http://www.eionet.europa.eu/gemet/concept/10154,fault,
coast,,,http://www.eionet.europa.eu/gemet/concept/10155,cliff,
mountainous area,,,http://www.eionet.europa.eu/gemet/concept/10176,relief (land),
natural environment,,terrestrial ecosystem,http://www.eionet.europa.eu/gemet/concept/10198,terrestrial environment,
protected area| protected area| protected area| protected area| protected area| protected area,nature reserve| forest reserve| natural park| national reserve| protected marine zone| biological reserve,,http://www.eionet.europa.eu/gemet/concept/10201,reserve,
cryptogam,moss,,http://www.eionet.europa.eu/gemet/concept/1023,bryophyte,
built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment| built environment,green building| green building| industrial site| industrial site| non-residential building| non-residential building| residential building| residential building| agricultural structure| agricultural structure| high-rise building| high-rise building| built structure| built structure| building component| building component| emergency shelter| emergency shelter,building planning| indoor environment| building planning| indoor environment| building planning| indoor environment| building planning| indoor environment| building planning| indoor environment| building planning| indoor environment| building planning| indoor environment| building planning| indoor environment| building planning| indoor environment,http://www.eionet.europa.eu/gemet/concept/1029,building,
species,,,http://www.eionet.europa.eu/gemet/concept/10562,endemic species,
brushwood,,,http://www.eionet.europa.eu/gemet/concept/10699,maquis,
law branch,,administrative instructions,http://www.eionet.europa.eu/gemet/concept/108,administrative law,
transition element,,heavy metal,http://www.eionet.europa.eu/gemet/concept/1100,cadmium,
element of group I (alkaline),,,http://www.eionet.europa.eu/gemet/concept/1103,caesium,
international organisation,,,http://www.eionet.europa.eu/gemet/concept/11046,International Monetary Fund,
element of group II (alkaline earth metals),,,http://www.eionet.europa.eu/gemet/concept/1111,calcium,
physical property,,,http://www.eionet.europa.eu/gemet/concept/11116,density,
environmental data,,,http://www.eionet.europa.eu/gemet/concept/11118,spatial distribution,
parameter| parameter| parameter,biotic index| saprobic index| environmental index,,http://www.eionet.europa.eu/gemet/concept/11124,index,
monitoring technique,,,http://www.eionet.europa.eu/gemet/concept/11125,census survey,
method,,mathematical analysis,http://www.eionet.europa.eu/gemet/concept/1113,calculation method,
parameter,,,http://www.eionet.europa.eu/gemet/concept/11130,rate,
parameter,,climate,http://www.eionet.europa.eu/gemet/concept/11133,seasonal variation,
testing method,calibration of measuring equipment,,http://www.eionet.europa.eu/gemet/concept/1114,calibration,
research| research| research| research| research| research| research| research| research| research| research,meteorological research| research of the effects| applied research| space research| environmental research| experimental study| land-based activity| laboratory research| field study| interdisciplinary research| scientific dispute,,http://www.eionet.europa.eu/gemet/concept/11148,scientific research,
applied science,,,http://www.eionet.europa.eu/gemet/concept/11152,agronomy,
non-metallic mineral,,natural material,http://www.eionet.europa.eu/gemet/concept/11207,chalk,
soil profile,,,http://www.eionet.europa.eu/gemet/concept/11227,organic matter,
station,,shunting yard,http://www.eionet.europa.eu/gemet/concept/11269,railway station,
traffic infrastructure,railway,rail traffic,http://www.eionet.europa.eu/gemet/concept/11276,railway network,
traffic infrastructure,road,road traffic,http://www.eionet.europa.eu/gemet/concept/11277,road network,
navigation| navigation,,commercial traffic| trade (services),http://www.eionet.europa.eu/gemet/concept/11294,merchant shipping,
standard,,,http://www.eionet.europa.eu/gemet/concept/11431,ISO standard,
,planning law| labour law| maritime law| regulation| mining law| aviation law| legislation on pollution| energy legislation| transport law| emergency law| data processing law| law branch| fishing law| decision| ownership| agricultural legislation| directive| ordinance| recommendation| protocol| convention| industrial legislation| statutory declaration| competition law| environmental legislation| police law| forestry legislation| financial law| housing legislation| juridical act| order| health legislation| treaty| genetic engineering legislation| Community law| decree| waste legislation,,http://www.eionet.europa.eu/gemet/concept/11499,law (corpus of rules),
law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules)| law (corpus of rules),traffic regulation| dangerous goods regulation| mining regulation| regional regulation| regulation on maximum permissible limits| legal regulation| health regulation| EC regulation| electronic scrap regulation| transport regulation| environmental protection regulation| pollution control regulation| occupational safety regulation| building regulation| regulation of agricultural production,prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription| prescription,http://www.eionet.europa.eu/gemet/concept/11514,regulation,
permission,,,http://www.eionet.europa.eu/gemet/concept/11521,concession,
element of group IV,,atmospheric component,http://www.eionet.europa.eu/gemet/concept/1160,carbon,
carbon dioxide,potash,,http://www.eionet.europa.eu/gemet/concept/1162,carbonate,
public function,,,http://www.eionet.europa.eu/gemet/concept/11632,devolution,
air-water interaction,,,http://www.eionet.europa.eu/gemet/concept/11635,ocean-air interface,
biogeochemical cycle,,,http://www.eionet.europa.eu/gemet/concept/1164,carbon cycle,
pollution type,,organic pollutant,http://www.eionet.europa.eu/gemet/concept/11644,organic pollution,
equipment,,,http://www.eionet.europa.eu/gemet/concept/11701,instrumentation,
triazine,,herbicide,http://www.eionet.europa.eu/gemet/concept/11713,atrazine,
organonitrogen compound,,,http://www.eionet.europa.eu/gemet/concept/11714,organic nitrogen,
inorganic substance,,,http://www.eionet.europa.eu/gemet/concept/1173,carbon monoxide,
chemical,,,http://www.eionet.europa.eu/gemet/concept/11788,dissolved oxygen,
chemical,volatile organic compound,volatility,http://www.eionet.europa.eu/gemet/concept/11794,volatile substance,
scientific research,,,http://www.eionet.europa.eu/gemet/concept/11807,experimental study,
