sBT,sNT,sRT,s,sPrefLabel,sAltLabels
Middle Jurassic| Jurassic| Dogger| Mesozoic,,Formazione di Sogno| Lower Jurassic| Rosso Ammonitico Lombardo,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aaleniano,Aalenian,
,,geochemistry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/abbondanzageochimica,abundance,
Spermatophyta| Coniferales| Pinaceae| Gymnospermae,,Plantae,http://linkeddata.ge.imati.cnr.it/resource/ThIST/abies,Abies,
,,diamonds| industrial minerals| corundum deposits| pumice deposits| diatomite| garnet deposits| sandstone| silica| carborundum,http://linkeddata.ge.imati.cnr.it/resource/ThIST/abrasivo,abrasives,
Italy,Chieti Italy| Teramo Italy| Abruzzo National Park,Conca River| Fucino earthquake 1915| Scisti e Marne a Fucoidi| Tronto River Basin| Calcare Massiccio| Liri River| Formazione di Pesco Falcone| Tronto River| Meta Mountains| Argille Varicolori| Formazione Marnoso-arenacea| Simbruini Mountains| Abruzzo earthquake 1984| Bisciaro| Trigno River| Scaglia Appenninica| Gran Sasso d'Italia| Sangro River Basin| Central Apennines| Abruzzo Appennines| Trigno River Basin| Rosso Ammonitico Marchigiano,http://linkeddata.ge.imati.cnr.it/resource/ThIST/abruzzo,Abruzzo Italy,
United Arab Emirates,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/abuzabi,Abu Dhabi United Arab Emirates,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acanthocephala,,
seismology,,accelerometers| motions| seismic response| velocity| accelerograms,http://linkeddata.ge.imati.cnr.it/resource/ThIST/accelerazione,acceleration,
,,ocean circulation| ocean currents,http://linkeddata.ge.imati.cnr.it/resource/ThIST/accelerazionedicoriolis,Coriolis force,
,,steel industry| metallurgy| alloys| iron,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acciaio,steel,
,,avalanches| slopes| colluvium| gravity sliding| landslides| slope stability,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acclivitadiversante,slope,
,,economics,http://linkeddata.ge.imati.cnr.it/resource/ThIST/accordocommerciale,economic agreements,
,,planetesimals| sedimentation| rifting| accreting plate boundary| tectonics| planetology| point bars| deposition| Moon| global maps| continental accretion| plate divergence,http://linkeddata.ge.imati.cnr.it/resource/ThIST/accrezione,accretion,
angiosperms| Spermatophyta| Plantae| Dicotyledoneae,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acer,Acer,
alkynes| aliphatic hydrocarbons| organic materials| hydrocarbons,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acetilene,acetylene,
,,petroleum engineering| tertiary recovery| acid rain,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidificazione,acidification,
,,acidic composition| pH| acidic magmas| solubility| acids| acid rain,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidita,acidity,
,sulfuric acid| humic acids| inorganic acids| hydrocloric acid| aspartic acid| organic acids| fulvic acids| boric acid| fatty acids| citric acid| alanine| hydrofluoric acid| carboxylic acids,acidic composition| pH| DNA| acidity| buffers| acid mine drainage| amino acids,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acido,acids,
organic materials| organic acids| amino acids| acids,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico,aspartic acid,
acids,,borates| sassolite,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico,boric acid,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocarbonico,,
chemical analysis| acids,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico,citric acid,
inorganic acids| acids,,chlorides,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico,hydrocloric acid,
acids,sulfuric acid| hydrocloric acid| hydrofluoric acid,organic acids,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoinorganico,inorganic acids,
acids,isoleucine| humic acids| aspartic acid| fulvic acids| alanine| carboxylic acids,inorganic acids| ketones| glycine| amino acids,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoorganico,organic acids,
inorganic acids| acids,,marcasite| acid mine drainage| pollution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico,sulfuric acid,
