sBT,sNT,sRT,s,sPrefLabel,sAltLabels,o
,,diamonds| industrial minerals| corundum deposits| pumice deposits| diatomite| garnet deposits| sandstone| silica| carborundum,http://linkeddata.ge.imati.cnr.it/resource/ThIST/abrasivo,abrasives,,http://dbpedia.org/resource/Category:Abrasives
seismology,,accelerometers| motions| seismic response| velocity| accelerograms,http://linkeddata.ge.imati.cnr.it/resource/ThIST/accelerazione,acceleration,,http://dbpedia.org/resource/Category:Acceleration
,,steel industry| metallurgy| alloys| iron,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acciaio,steel,,http://dbpedia.org/resource/Category:Steel
,sulfuric acid| humic acids| inorganic acids| hydrocloric acid| aspartic acid| organic acids| fulvic acids| boric acid| fatty acids| citric acid| alanine| hydrofluoric acid| carboxylic acids,acidic composition| pH| DNA| acidity| buffers| acid mine drainage| amino acids,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acido,acids,,http://dbpedia.org/resource/Category:Acids
,ground water,percolation| retention| oil-water interface| mineral waters| hydrothermal processes| atmospheric precipitation| weir| meteorology| waste water| hygroscopic water| hydrothermal waters| humidity| water treatment| water of dehydration| precipitation| pore water| surface water| potability| soil-water balance| hydrology| water hardness| irrigation| snow| hydrochemistry| polluted water| thermal waters| impurities| medicinal waters| gauging| droplets| saturation| water consumption| geochemistry| artesian waters| wettability| purification| aqueous solutions| meltwater| juvenile water| fossil waters| brackish water| environmental geology| water vapor| springs| pollution| bottom water| hydrological methods| sediment-water interface| salt water| raindrops| water regimes| hydrothermal fluids| decontamination| water management| seepage| moisture| hydrologic cycle| hydrogen bond| clouds| drainage| water yield| drinking water| water storage| water of crystallization| aqueduct| water pressure| rock-water interface| bottling| hydrosphere| capillary water| ice| hydration| fresh water| connate waters| waterways| water supply| meteoric water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acqua,water,,http://dbpedia.org/resource/Category:Water
,confined aquifers| alluvium aquifers| aquicludes| perched aquifers| surficial aquifers| shallow aquifers| unconfined aquifers,hydrogeology| groundwater level| artesian wells| aquitards| multiphase flow| water balance| artesian waters| phreatic water| transmissivity| heat storage| storage coefficient| leaky aquifers| spring| water resources| piezometry| static level| Darcy's law| water yield| multiple aquifers| recharge| shallow depth| dynamic level| water supply| ground water| aquifuges,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquifero,aquifers,,http://dbpedia.org/resource/Category:Aquifers
Zoantharia| Coelenterata| Invertebrata| Anthozoa,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/actiniaria,Actiniaria,,http://dbpedia.org/resource/Category:Actiniaria
,,applied geology| environmental geology| land use,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aeroporto,airfields,,http://dbpedia.org/resource/Category:Airfields
,,meteorology| radioactive tracers| convection| turbidity| particulate materials| atmosphere| air-sea interface| ash,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aerosol,aerosols,,http://dbpedia.org/resource/Category:Aerosols
Middle East| Asia,Badakhshan Afghanistan| Kabul Afghanistan,Hindu Kush| Turkestan| Pamirs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/afghanistan,Afghanistan,,http://dbpedia.org/resource/Category:Afghanistan
metals,Hf-177/Hf-176,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/afnio,hafnium,,http://dbpedia.org/resource/Category:Hafnium
,Lake Rudolf| Libya| Central African Republic| Nigeria| West African Shield| Tripoli Libya| Libyan Desert| Gambia| Eritrea| Ogooué River| Bushveld Complex| Nile Delta| Guinea| Seychelles| Lake Tanganyika| Ghana| São Tomé and Prìncipe| Liberia| West Africa| Burundi| Niger| Chad| Mauritania| Afar| Tassili n'Ajjer| Lake Kivu| Karroo Basin| Accra Ghana| Nubia| Maghreb| Suez Canal| Gabon| Zimbabwe| Ethiopia| Kilimanjaro| Kufra Basin| Guinea-Bissau| Europe| Europa Island| Lake Victoria| Central Africa| Somalia| Comoros| Burkina Faso| Sahel| East Africa| Mozambique| Swaziland| Southern Africa| Mayotte| East African Lakes| Morocco| Tibesti Massif| Democratic Republic of Congo| North Africa| Cirenaica| Zambia| Ivory Coast| Tigre Ethiopia| Niger Delta| Mali| Chad Basin| Tripolitania| Nile River| Egypt| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Rwanda| Sierra Leone| Lake Chad| Mount Kenya| Atlas Mountains| Bassas da India| Namibia| Madagascar| Sirte Basin| Congo| Tunis Tunisia| Tunisia| Juan de Nova Island| Sahara| Reunion| Western Sahara| Togo| Lesotho| Saint Helena| Nile Valley| Kenya| Equatorial Guinea| Cameroon| Tibesti Libya| Malawi| Congo River Basin| Dankalia| Senegal| Middle Nile Valley,Cape Verde Islands| Gondwana| Tethys| Nubian Sandstone| savannas| Paleotethys| Pan-African Orogeny| African Plate| Mozambique Channel| Katangan Orogeny,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africa,Africa,,http://dbpedia.org/resource/Category:Africa
,,chelation| complexing| metals| inorganic materials| organic materials| bonding| ions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agentedichelazione,ligands,,http://dbpedia.org/resource/Category:Ligands
Trilobitomorpha| Trilobita| Arthropoda| Invertebrata,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agnostida,Agnostida,,http://dbpedia.org/resource/Category:Agnostida
,,fertilizers| soils| tillage| fertilization| agricultural waste| channelization| land use| rural areas| land management,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agricoltura,agriculture,,http://dbpedia.org/resource/Category:Agriculture
Middle East| Arabian Peninsula| Asia,Manama Bahrain,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn,Bahrain,,http://dbpedia.org/resource/Category:Bahrain
United States of America,,North America| Rocky Mountains,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alaska,Alaska,,http://dbpedia.org/resource/Category:Alaska
,,forests,http://linkeddata.ge.imati.cnr.it/resource/ThIST/albero,trees,,http://dbpedia.org/resource/Category:Trees
aliphatic hydrocarbons| organic materials| hydrocarbons,phytane| pentane| ethane| paraffins| pristane| butane| n-alkanes| propane| methane,biomarkers| saturated hydrocarbons,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alcano,alkanes,,http://dbpedia.org/resource/Category:Alkanes
aliphatic hydrocarbons| organic materials| hydrocarbons,ethylene,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alchene,alkenes,,http://dbpedia.org/resource/Category:Alkenes
aliphatic hydrocarbons| organic materials| hydrocarbons,acetylene,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alchino,alkynes,,http://dbpedia.org/resource/Category:Alkynes
