Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;EUROVOC Concept URI;EUROVOC Concept's PrefLabel;Broaders Of  EUROVOC Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
acids;inorganic acids;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoinorganico;http://eurovoc.europa.eu/5045;inorganic acid;inorganic chemical product;E
acids;organic acids;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoorganico;http://eurovoc.europa.eu/5055;organic acid;organic chemical;E
Africa;Sahara;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://eurovoc.europa.eu/415;desert;geophysical environment;C
Africa;Central Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://eurovoc.europa.eu/302;Central Africa;sub-Saharan Africa;E
Africa;Southern Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://eurovoc.europa.eu/342;Southern Africa;sub-Saharan Africa;E
Africa;West Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://eurovoc.europa.eu/351;West Africa;sub-Saharan Africa;E
Africa;East Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://eurovoc.europa.eu/357;East Africa;sub-Saharan Africa;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://eurovoc.europa.eu/1729;Madagascar;ACP countries;E
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://eurovoc.europa.eu/1729;Madagascar;East Africa;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;Niger;ACP countries;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;Niger;Ecowas countries;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;Niger;WAEMU countries;E
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;Niger;West Africa;E
Africa;Sahel;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://eurovoc.europa.eu/3804;Sahel;sub-Saharan Africa;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://eurovoc.europa.eu/5072;Burundi;ACP countries| ACP countries;E
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://eurovoc.europa.eu/5072;Burundi;East Africa| East Africa;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;Gabon;ACP countries| ACP countries;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;Gabon;CAEMC countries| CAEMC countries;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;Gabon;Central Africa| Central Africa;E
Africa| Central Africa;Equatorial Guinea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;Equatorial Guinea;ACP countries| ACP countries;E
Africa| Central Africa;Equatorial Guinea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;Equatorial Guinea;CAEMC countries| CAEMC countries;E
Africa| Central Africa;Equatorial Guinea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;Equatorial Guinea;Central Africa| Central Africa;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://eurovoc.europa.eu/3784;Rwanda;ACP countries| ACP countries;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://eurovoc.europa.eu/3784;Rwanda;East Africa| East Africa;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;Sudan;ACP countries| ACP countries;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;Sudan;Arab League countries| Arab League countries;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;Sudan;CAEU countries| CAEU countries;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;Sudan;East Africa| East Africa;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;Comoros;ACP countries| ACP countries;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;Comoros;Arab League countries| Arab League countries;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;Comoros;East Africa| East Africa;E
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://eurovoc.europa.eu/5617;Eritrea;ACP countries| ACP countries;E
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://eurovoc.europa.eu/5617;Eritrea;Horn of Africa| Horn of Africa;E
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://eurovoc.europa.eu/891;Ethiopia;ACP countries| ACP countries;E
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://eurovoc.europa.eu/891;Ethiopia;Horn of Africa| Horn of Africa;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;Kenya;ACP countries| ACP countries;E
